NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
1161,203.817,-185.1,203.8275,-200,203.8362,-179.38,0.0264,14.9,154.81
1162,203.8476,-175.63,203.8539,-187.5,203.8599,-172.19,0.105,11.88,77.72
1163,203.9559,-174.17,203.9589,-185.63,203.9685,-162.5,0.0291,11.46,41.03
1164,203.9808,-155.83,203.988,-175.31,203.9973,-161.56,0.0369,19.48,214.38
1165,204.012,-154.79,204.0249,-193.75,204.0321,-169.69,0.0255,38.96,548.75
1166,204.0435,-177.19,204.0504,-194.69,204.0531,-173.44,0.081,17.5,74.06
1167,204.1236,-167.5,204.1314,-194.38,204.1365,-168.75,0.0438,26.88,210
1168,204.168,-175.52,204.1752,-199.38,204.1827,-174.06,0.0555,23.85,125.69
1169,204.2259,-159.69,204.2307,-187.19,204.2418,-170.31,0.0582,27.5,311.34
1170,204.2826,-176.77,204.2889,-198.13,204.2955,-178.44,0.0411,21.35,110.59
1171,204.3222,-193.33,204.33,-203.75,204.3369,-180.63,0.0468,10.42,14.22
1172,204.3726,-164.27,204.3768,-191.88,204.3822,-168.75,0.0387,27.6,136.5
1173,204.4056,-173.65,204.4155,-202.81,204.4224,-180,0.129,29.17,229.22
1174,204.5385,-181.46,204.5445,-213.75,204.5502,-180.94,0.081,32.29,196.06
1175,204.618,-182.5,204.6255,-212.81,204.6339,-190,0.1029,30.31,285.19
1176,204.7209,-168.96,204.7284,-192.81,204.7347,-159.38,0.0504,23.85,149.88
1177,204.774,-176.98,204.7788,-196.56,204.7842,-176.25,0.1674,19.58,112.53
1178,204.9396,-190.52,204.9462,-221.88,204.9528,-193.13,0.039,31.35,235.41
1179,204.9768,-190.21,204.9852,-215.63,204.9957,-188.13,0.0483,25.42,235.81
1180,205.0251,-180,205.0335,-203.44,205.0503,-189.06,0.0828,23.44,285.56
1181,205.104,-174.79,205.1163,-203.75,205.1211,-179.69,0.0237,28.96,286
1182,205.134,-173.96,205.14,-195.63,205.1463,-168.75,0.1044,21.67,115.22
