NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
171,127.6224,-181.88,127.6257,-203.75,127.6386,-182.66,1.4649,21.88,179.81
172,129.0825,-185.63,129.0906,-206.88,129.0996,-182.97,0.9387,21.25,139.64
173,130.0251,-183.91,130.0293,-207.19,130.038,-184.38,0.2019,23.28,126.89
174,130.2264,-187.76,130.2312,-210.47,130.2426,-189.22,1.0005,22.71,180.11
175,131.2269,-194.64,131.2317,-216.25,131.2455,-197.19,1.8993,21.61,207.14
176,133.1208,-178.59,133.131,-204.53,133.1499,-185.94,2.1195,25.94,336.56
177,135.2475,-192.86,135.2505,-206.88,135.2676,-186.41,0.5211,14.01,63.34
178,135.7671,-197.4,135.7716,-216.72,135.7788,-192.81,0.1353,19.32,94.2
179,135.9015,-193.75,135.9069,-220.16,135.9159,-195.78,0.1617,26.41,206.77
180,136.0599,-190.26,136.0686,-212.81,136.0758,-190.94,0.2991,22.55,129.66
181,136.3629,-188.23,136.3677,-211.88,136.3791,-187.81,0.0681,23.65,194.17
182,136.4277,-189.43,136.4358,-209.06,136.443,-188.28,0.4995,19.64,125.28
183,136.9272,-195.36,136.9353,-215.31,136.9416,-195.63,0.1977,19.95,113.8
184,137.1231,-193.49,137.133,-210.16,137.1393,-190.94,0.0513,16.67,113
185,137.1786,-198.91,137.1843,-217.5,137.1972,-192.19,0.5514,18.59,97.31
186,137.7222,-185.47,137.7357,-208.13,137.7453,-187.97,0.3492,22.66,217.08
187,138.069,-195.89,138.0849,-214.38,138.0942,-188.28,1.065,18.49,93.72
188,139.1427,-194.53,139.1499,-216.25,139.1565,-192.34,0.2475,21.72,142.78
189,139.3812,-193.13,139.3974,-221.88,139.4046,-199.06,0.0357,28.75,319.59
190,139.4256,-192.4,139.4331,-212.03,139.44,-191.72,0.4794,19.64,127.44
191,139.9038,-199.74,139.9125,-220.16,139.9191,-195.78,0.3024,20.42,131.09
192,140.2047,-190.21,140.2149,-214.84,140.2245,-195.31,0.8352,24.64,253.53
193,141.0471,-191.3,141.0501,-215.16,141.0708,-200,0.2016,23.85,232.05
194,141.2463,-182.24,141.2517,-214.38,141.2583,-185.94,0.7845,32.14,202.75
195,142.0287,-186.35,142.0362,-212.34,142.0425,-188.75,0.7782,25.99,164.61
196,142.8102,-189.79,142.8144,-217.97,142.8276,-189.69,0.4833,28.18,197
197,143.2863,-188.75,143.2977,-209.53,143.3046,-189.84,0.2484,20.78,185.81
198,143.5398,-186.04,143.5461,-209.53,143.5599,-189.22,0.6024,23.49,236.94
199,144.1443,-190.36,144.1485,-210.31,144.1563,-188.59,0.6105,19.95,109.94
200,144.7476,-191.2,144.759,-210.78,144.7641,-191.25,0.0741,19.58,110.84
201,144.8289,-188.02,144.8331,-209.38,144.8424,-187.03,0.4374,21.35,117.92
202,145.2636,-189.53,145.2705,-206.25,145.2801,-189.84,1.0629,16.72,119.86
203,146.3304,-187.14,146.3334,-232.03,146.3439,-196.09,1.5993,44.9,318.25
204,147.9294,-191.77,147.9327,-217.81,147.942,-190,0.7611,26.04,143.23
205,148.6647,-187.86,148.6938,-206.72,148.6947,669.38,0.0201,18.85,0
206,148.7061,67.76,148.7139,52.66,148.722,60.31,2.7816,15.1,113.67
207,151.4919,19.74,151.4955,-1.56,151.5015,20.78,3.4599,21.3,87.52
208,154.9461,29.58,154.9554,13.75,154.9623,33.91,0,15.83,129.67
209,155.1996,37.34,154.9554,13.75,155.223,36.56,1.3782,23.59,265.78
210,156.3246,29.17,156.3336,0.47,156.3546,17.19,0.4368,28.7,447.67
211,156.7647,26.51,156.7704,2.81,156.7767,27.81,0.0456,23.7,131.31
212,156.8067,33.39,156.816,7.97,156.8199,28.13,1.8204,25.42,162.14
213,158.6247,38.49,158.6364,16.72,158.6436,36.88,4.7031,21.77,217.98
214,163.3332,19.74,163.3395,-7.81,163.3494,16.72,3.8967,27.55,247.84
215,167.2338,18.8,167.2362,-17.03,167.2542,20.31,3.8001,35.83,250.41
216,171.0294,18.28,171.0363,-4.84,171.0411,15.94,0.8577,23.13,119.25
217,171.8856,7.24,171.894,-14.06,171.9039,4.06,0.4002,21.3,183.12
218,172.287,21.25,172.2942,-4.69,172.302,15.16,0.2196,25.94,249.66
219,172.5,12.86,172.5138,-6.41,172.5177,12.34,1.3959,19.27,173.3
220,173.8992,0.52,173.9097,-20.16,173.9256,11.56,1.4022,20.68,95.47
221,175.3062,5.89,175.3119,-18.75,175.3302,8.91,2.3205,24.64,170.06
222,177.6273,13.13,177.6324,-11.41,177.6435,14.38,0.3594,24.53,203.44
223,177.9795,22.34,177.9918,4.53,177.999,25,1.8573,17.81,152.16
224,179.8386,11.82,179.8491,-4.22,179.8542,15.63,0.0822,16.04,108.34
225,179.9241,12.08,179.9313,-7.81,179.9451,13.44,0,19.9,186.03
226,181.9605,-0.1,179.9313,-7.81,181.98,4.53,2.1132,7.71,114.19
227,182.0403,2.14,182.0445,-17.03,182.055,6.09,0.3489,19.17,90.44
228,182.3865,21.25,182.3934,0.31,182.4015,19.38,0.7479,20.94,170.25
229,183.1329,2.81,183.1413,-20.31,183.156,0,4.3113,23.13,167.81
230,187.4442,2.81,187.4526,-13.13,187.4574,4.69,1.5189,15.94,103.5
231,188.9619,2.03,188.9715,-17.34,188.9775,2.34,0.2763,19.38,171.33
232,189.2427,4.43,189.2478,-15.47,189.2526,5.63,1.8969,19.9,97.84
233,191.1402,-6.67,191.1447,-40.16,191.1531,-6.88,4.9467,33.49,234.27
234,196.0872,-4.22,196.0914,-25.78,196.1109,-7.5,2.3196,21.56,212.53
235,198.4047,-6.3,198.411,-27.66,198.4182,-10,7.0935,21.35,140.05
236,205.4985,-19.38,205.5045,-42.03,205.5147,-23.28,1.0866,22.66,184.13
237,206.5848,-13.18,206.5911,-28.75,206.5995,-10.94,0.7806,15.57,74.88
238,207.3633,-20.16,207.3717,-36.25,207.3795,-19.38,1.7811,16.09,107.72
239,209.148,-26.51,209.1528,-51.09,209.1606,-24.53,2.5632,24.58,127.89
240,211.707,-27.92,211.716,-48.13,211.7232,-22.97,3.1548,20.21,89.78
241,214.8582,-16.3,214.8708,-42.34,214.881,-19.38,1.3437,26.04,243.16
242,216.2088,-16.93,216.2145,-37.81,216.2235,-18.59,3.6039,20.89,178.42
243,219.807,-26.2,219.8184,-43.13,219.8238,-23.13,2.0973,16.93,132.19
244,221.9061,-15.52,221.9157,-46.25,221.922,-23.44,2.2581,30.73,233.48
245,224.1606,-29.64,224.1738,-49.53,224.1825,-27.19,1.5381,19.9,181.34
246,225.7068,-27.86,225.7119,-56.25,225.7212,-31.87,0.1248,28.39,223.86
