cell,feature,time,int
cell10_02,nucl,154,1684.788
cell10_02,nucl,155,1637.334
cell10_02,nucl,156,1659.091
cell10_02,nucl,157,1674.34
cell10_02,nucl,158,1643.808
cell10_02,nucl,159,1666.589
cell10_02,nucl,160,1668.37
cell10_02,nucl,161,1684.705
cell10_02,nucl,162,1636.655
cell10_02,nucl,163,1688.478
cell10_02,nucl,164,1651.924
cell10_02,nucl,165,1673.287
cell10_02,nucl,166,1655.741
cell10_02,nucl,167,1654.838
cell10_02,nucl,168,1682.29
cell10_02,nucl,169,1654.995
cell10_02,nucl,170,1677.371
cell10_02,nucl,171,1670.388
cell10_02,nucl,172,1647.718
cell10_02,nucl,173,1658.018
cell10_02,nucl,174,1683.62
cell10_02,nucl,175,1684.095
cell10_02,nucl,176,1659.148
cell10_02,nucl,177,1660.97
cell10_02,nucl,178,1614.335
cell10_02,nucl,179,1662.309
cell10_02,nucl,180,1691.754
cell10_04,nucl,1,1610.133
cell10_04,nucl,2,1642.0
cell10_04,nucl,3,1650.804
cell10_04,nucl,4,1615.46
cell10_04,nucl,5,1626.094
cell10_04,nucl,6,1609.983
cell10_04,nucl,7,1625.705
cell10_04,nucl,8,1615.312
cell10_04,nucl,9,1656.989
cell10_04,nucl,10,1634.104
cell10_04,nucl,11,1609.243
cell10_04,nucl,12,1627.91
cell10_04,nucl,13,1608.385
cell10_04,nucl,14,1625.187
cell10_04,nucl,15,1627.814
cell10_04,nucl,16,1608.422
cell10_04,nucl,17,1636.485
cell10_04,nucl,18,1587.462
cell10_04,nucl,19,1626.238
cell10_04,nucl,20,1595.124
cell10_04,nucl,21,1859.156
cell10_04,nucl,22,1842.268
cell10_04,nucl,23,1837.14
cell10_04,nucl,24,1799.857
cell10_04,nucl,25,1804.45
cell10_04,nucl,26,1804.075
cell10_04,nucl,27,1785.821
cell10_04,nucl,28,1788.886
cell10_04,nucl,29,1785.603
cell10_04,nucl,30,1764.652
cell10_04,nucl,31,1756.981
cell10_04,nucl,32,1780.064
cell10_04,nucl,33,1716.746
cell10_04,nucl,34,1741.896
cell10_04,nucl,35,1739.147
cell10_04,nucl,36,1717.732
cell10_04,nucl,37,1683.137
cell10_04,nucl,38,1664.851
cell10_04,nucl,39,1713.016
cell10_04,nucl,40,1687.535
cell10_04,nucl,41,1682.087
cell10_04,nucl,42,1700.033
cell10_04,nucl,43,1679.362
cell10_04,nucl,44,1684.525
cell10_04,nucl,45,1680.115
cell10_04,nucl,46,1682.832
cell10_04,nucl,47,1647.413
cell10_04,nucl,48,1667.415
