msec,pa
"320402,4","89,8075332642"
"320402,7","93,2401809692"
320403,"93,0338363647"
"320403,3","97,1567382813"
"320403,6","97,4583053589"
"320403,9","96,2420578003"
"320404,2","96,4179840088"
"320404,5","98,161567688"
"320404,8","93,5878372192"
"320405,1","99,6544647217"
"320405,4","102,6914672852"
"320405,7","96,9259338379"
320406,"101,5322799683"
"320406,3","99,5179901123"
"320406,6","99,6526794434"
"320406,9","98,8452453613"
"320407,2","98,5373077393"
"320407,5","98,7117843628"
"320407,8","105,8527526855"
"320408,1","104,6547317505"
"320408,4","100,8829650879"
"320408,7","103,1730117798"
320409,"103,5608901978"
"320409,3","103,1519622803"
"320409,6","97,1337585449"
"320409,9","103,1759872437"
"320410,2","103,1384963989"
"320410,5","101,5218048096"
"320410,8","102,2272949219"
"320411,1","105,6636276245"
"320411,4","103,6965332031"
"320411,7","103,163017273"
320412,"98,0012741089"
"320412,3","101,1510162354"
"320412,6","100,9720611572"
"320412,9","104,2369003296"
"320413,2","105,1767807007"
"320413,5","99,2892227173"
"320413,8","93,3932800293"
"320414,1","101,672088623"
"320414,4","97,880859375"
"320414,7","98,7457275391"
320415,"99,2919692993"
"320415,3","99,6004714966"
"320415,6","99,9451828003"
"320415,9","103,1742706299"
"320416,2","100,7016220093"
"320416,5","98,697845459"
"320416,8","100,665512085"
"320417,1","102,7525482178"
"320417,4","101,3164215088"
"320417,7","103,0453033447"
320418,"100,6909255981"
"320418,3","99,2580337524"
"320418,6","100,7061004639"
"320418,9","103,4754638672"
"320419,2","103,615234375"
"320419,5","104,1529769897"
"320419,8","99,8125457764"
"320420,1","105,6971740723"
"320420,4","101,4105606079"
"320420,7","103,7267227173"
320421,"104,1525497437"
"320421,3","107,6570129395"
"320421,6","107,2131576538"
"320421,9","108,1371841431"
"320422,2","104,4794616699"
"320422,5","101,985458374"
"320422,8","104,8619537354"
"320423,1","102,582321167"
"320423,4","102,6398010254"
"320423,7","100,9882965088"
320424,"101,26902771"
"320424,3","99,6228103638"
"320424,6","102,1152038574"
"320424,9","102,4480133057"
"320425,2","97,6735992432"
"320425,5","101,9363708496"
"320425,8","102,8248901367"
"320426,1","102,2850952148"
"320426,4","102,8478851318"
"320426,7","106,129524231"
320427,"100,0120162964"
"320427,3","101,3856811523"
"320427,6","108,2282867432"
"320427,9","105,0240020752"
"320428,2","99,7928848267"
"320428,5","102,8832931519"
"320428,8","101,2013626099"
"320429,1","101,5193939209"
"320429,4","102,5155410767"
"320429,7","101,0041351318"
320430,"105,1658554077"
"320430,3","101,7110443115"
"320430,6","100,2618408203"
"320430,9","99,8257064819"
