msec,pa
"97616,3999999998","79,1388778687"
"97616,6999999998","79,2223510742"
"97616,9999999998","84,5079269409"
"97617,2999999998","85,6959152222"
"97617,5999999998","84,4456329346"
"97617,8999999998","84,9265365601"
"97618,1999999998","82,5622940063"
"97618,4999999998","93,077331543"
"97618,7999999998","82,3062133789"
"97619,0999999998","83,13646698"
"97619,3999999998","92,7004241943"
"97619,6999999998","90,9745178223"
"97619,9999999998","88,0920028687"
"97620,2999999998","82,9719543457"
"97620,5999999998","87,9649734497"
"97620,8999999998","83,3477859497"
"97621,1999999998","89,6442108154"
"97621,4999999998","89,2370681763"
"97621,7999999998","82,1052780151"
"97622,0999999998","82,3046798706"
"97622,3999999998","81,0442657471"
"97622,6999999998","83,0812530518"
"97622,9999999998","87,4681625366"
"97623,2999999998","89,1367111206"
"97623,5999999998","87,056892395"
"97623,8999999998","81,6514968872"
"97624,1999999998","85,5397262573"
"97624,4999999998","80,4087753296"
"97624,7999999998","81,6479797363"
"97625,0999999998","75,6839828491"
"97625,3999999998","80,309425354"
"97625,6999999998","82,7562408447"
"97625,9999999998","81,9233322144"
"97626,2999999998","80,8000335693"
"97626,5999999998","85,931060791"
"97626,8999999998","75,7049331665"
"97627,1999999998","85,5879211426"
"97627,4999999998","84,4966125488"
"97627,7999999998","88,0769195557"
"97628,0999999998","83,3714675903"
"97628,3999999998","87,3578414917"
"97628,6999999998","87,2080535889"
"97628,9999999998","84,7733078003"
"97629,2999999998","89,703704834"
"97629,5999999998","85,5587387085"
"97629,8999999998","85,784538269"
"97630,1999999998","88,4022369385"
"97630,4999999998","81,594543457"
"97630,7999999998","89,965927124"
"97631,0999999998","82,8646850586"
"97631,3999999998","80,2588424683"
"97631,6999999998","87,7565765381"
"97631,9999999998","85,4776763916"
"97632,2999999998","81,3901519775"
"97632,5999999998","80,4656295776"
"97632,8999999998","81,4253692627"
"97633,1999999998","84,0398788452"
"97633,4999999998","83,416847229"
"97633,7999999998","79,542427063"
"97634,0999999998","83,4132003784"
"97634,3999999998","86,1332550049"
"97634,6999999998","87,8965682983"
"97634,9999999998","90,3062210083"
"97635,2999999998","82,3481826782"
"97635,5999999998","85,1507492065"
"97635,8999999998","83,3167572021"
"97636,1999999998","86,8814163208"
"97636,4999999998","84,8787460327"
"97636,7999999998","83,7348403931"
"97637,0999999998","86,4482650757"
"97637,3999999998","87,3665313721"
"97637,6999999998","85,9860458374"
"97637,9999999998","87,1954727173"
"97638,2999999998","89,896446228"
"97638,5999999998","87,3435592651"
"97638,8999999998","88,7434692383"
"97639,1999999998","86,0866775513"
