"","id","roi","int","index","time","cell_id","app_time"
"77","03.04.2024_(2.4)_ch1","4",-0.0137571236642043,16,16,"03_04_24_cell2","0.5"
"78","03.04.2024_(2.4)_ch1","4",-0.015683417332471,17,17,"03_04_24_cell2","0.5"
"79","03.04.2024_(2.4)_ch1","4",-0.03766095147148,18,18,"03_04_24_cell2","0.5"
"80","03.04.2024_(2.4)_ch1","4",-0.0302438292948703,20,19,"03_04_24_cell2","0.5"
"81","03.04.2024_(2.4)_ch1","5",0.0106578016353165,0,0,"03_04_24_cell2","0.5"
"82","03.04.2024_(2.4)_ch1","5",0.0043794117152457,1,1,"03_04_24_cell2","0.5"
"83","03.04.2024_(2.4)_ch1","5",-0.00904679374752472,2,2,"03_04_24_cell2","0.5"
"84","03.04.2024_(2.4)_ch1","5",-0.00212543412991952,3,3,"03_04_24_cell2","0.5"
"85","03.04.2024_(2.4)_ch1","5",-0.00386498547311814,4,4,"03_04_24_cell2","0.5"
"86","03.04.2024_(2.4)_ch1","5",0.0211970373012207,5,5,"03_04_24_cell2","0.5"
"87","03.04.2024_(2.4)_ch1","5",0.363992667190399,6,6,"03_04_24_cell2","0.5"
"88","03.04.2024_(2.4)_ch1","5",0.424470672839408,7,7,"03_04_24_cell2","0.5"
"89","03.04.2024_(2.4)_ch1","5",0.385181588363033,8,8,"03_04_24_cell2","0.5"
"90","03.04.2024_(2.4)_ch1","5",0.340953446981601,9,9,"03_04_24_cell2","0.5"
"91","03.04.2024_(2.4)_ch1","5",0.251397759641153,10,10,"03_04_24_cell2","0.5"
"92","03.04.2024_(2.4)_ch1","5",0.206640188526431,11,11,"03_04_24_cell2","0.5"
"93","03.04.2024_(2.4)_ch1","5",0.143210332857092,12,12,"03_04_24_cell2","0.5"
"94","03.04.2024_(2.4)_ch1","5",0.0953116979826397,13,13,"03_04_24_cell2","0.5"
"95","03.04.2024_(2.4)_ch1","5",0.109769867718736,14,14,"03_04_24_cell2","0.5"
"96","03.04.2024_(2.4)_ch1","5",0.0618828821115837,15,15,"03_04_24_cell2","0.5"
"97","03.04.2024_(2.4)_ch1","5",0.045035682027618,16,16,"03_04_24_cell2","0.5"
"98","03.04.2024_(2.4)_ch1","5",0.047824495334724,17,17,"03_04_24_cell2","0.5"
"99","03.04.2024_(2.4)_ch1","5",0.0316679950386941,18,18,"03_04_24_cell2","0.5"
"100","03.04.2024_(2.4)_ch1","5",0.00865096480549254,20,19,"03_04_24_cell2","0.5"
"101","03.04.2024_(2.4)_ch1","6",-0.0023423789846852,0,0,"03_04_24_cell2","0.5"
"102","03.04.2024_(2.4)_ch1","6",-0.011688909966189,1,1,"03_04_24_cell2","0.5"
"103","03.04.2024_(2.4)_ch1","6",0.0130400300708785,2,2,"03_04_24_cell2","0.5"
"104","03.04.2024_(2.4)_ch1","6",0.00484039225641905,3,3,"03_04_24_cell2","0.5"
"105","03.04.2024_(2.4)_ch1","6",-0.00384913337642318,4,4,"03_04_24_cell2","0.5"
"106","03.04.2024_(2.4)_ch1","6",0.0248847897739098,5,5,"03_04_24_cell2","0.5"
"107","03.04.2024_(2.4)_ch1","6",0.291962051099365,6,6,"03_04_24_cell2","0.5"
"108","03.04.2024_(2.4)_ch1","6",0.303634856083709,7,7,"03_04_24_cell2","0.5"
"109","03.04.2024_(2.4)_ch1","6",0.232868704429072,8,8,"03_04_24_cell2","0.5"
"110","03.04.2024_(2.4)_ch1","6",0.203943941211687,9,9,"03_04_24_cell2","0.5"
