ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,2,2.0,up,1,544.194,-0.04215446863980579,0.010805405559036623
cell4_02_2_2022,3,fp,2,2.0,up,2,371.319,-0.029600758508656535,0.05228009448701034
cell4_02_2_2022,3,fp,2,2.0,up,3,640.287,0.021322677205395206,0.02195952683411041
cell4_02_2_2022,3,fp,2,2.0,up,4,534.067,-0.005659582042156049,0.0959209494171542
cell4_02_2_2022,3,fp,2,2.0,up,5,440.044,-0.04118483759295226,0.04329002457120289
cell4_02_2_2022,3,fp,3,4.0,up,1,523.09,-0.07929999412120667,0.010291636956525855
cell4_02_2_2022,3,fp,3,4.0,up,2,403.786,0.05524798926212662,0.05633274770332112
cell4_02_2_2022,3,fp,3,4.0,up,3,612.015,-0.023774029005961546,0.020798467749982206
cell4_02_2_2022,3,fp,3,4.0,up,4,537.675,0.0010578901626269622,0.09568817307221114
cell4_02_2_2022,3,fp,3,4.0,up,5,472.845,0.030285506604704377,0.046092543099589045
cell4_02_2_2022,3,fp,4,6.0,up,1,580.712,0.022121512194623848,0.011428692532521746
cell4_02_2_2022,3,fp,4,6.0,up,2,392.49,0.02572720031276985,0.05477296516721661
cell4_02_2_2022,3,fp,4,6.0,up,3,624.719,-0.003509861076240335,0.021236406057455456
cell4_02_2_2022,3,fp,4,6.0,up,4,535.469,-0.003049300437082265,0.09532367532890777
cell4_02_2_2022,3,fp,4,6.0,up,5,463.97,0.010947702734267447,0.04524067367253701
cell4_02_2_2022,3,fp,5,8.0,up,1,568.369,0.0003963785224796478,0.011210300643643466
cell4_02_2_2022,3,fp,5,8.0,up,2,378.121,-0.011824518562345995,0.05288345115580184
cell4_02_2_2022,3,fp,5,8.0,up,3,704.683,0.12404082566275665,0.024007207976561352
cell4_02_2_2022,3,fp,5,8.0,up,4,530.955,-0.011453588001492194,0.09472731150426113
cell4_02_2_2022,3,fp,5,8.0,up,5,462.825,0.008452853671546204,0.04522804039470317
cell4_02_2_2022,3,fp,6,10.0,up,1,545.466,-0.039915598832549165,0.010582340745974788
cell4_02_2_2022,3,fp,6,10.0,up,2,416.44,0.08831775407844751,0.05728862932766793
cell4_02_2_2022,3,fp,6,10.0,up,3,678.988,0.08305469570729516,0.022752906686835668
cell4_02_2_2022,3,fp,6,10.0,up,4,546.057,0.01666372497983662,0.09582572523471233
cell4_02_2_2022,3,fp,6,10.0,up,5,459.363,0.000909475981467055,0.04415443098263067
