"","id","roi","int","index","time","roi_type"
"225","24_05_08_cell7_ch0_up","1",0.0749,41,41,"Max"
"226","24_05_08_cell7_ch0_up","1",0.1077,42,42,"Max"
"227","24_05_08_cell7_ch0_up","1",0.0891,43,43,"Max"
"228","24_05_08_cell7_ch0_up","1",0.0968,44,44,"Max"
"229","24_05_08_cell7_ch0_up","1",0.1001,45,45,"Max"
"230","24_05_08_cell7_ch0_up","1",0.0961,46,46,"Max"
"231","24_05_08_cell7_ch0_up","1",0.0769,47,47,"Max"
"232","24_05_08_cell7_ch0_up","1",0.1182,48,48,"Max"
"233","24_05_08_cell7_ch0_up","1",0.1031,49,49,"Max"
"234","24_05_08_cell7_ch0_up","1",0.0912,50,50,"Max"
"235","24_05_08_cell7_ch0_up","1",0.1104,51,51,"Max"
"236","24_05_08_cell7_ch0_up","1",0.1236,52,52,"Max"
"237","24_05_08_cell7_ch0_up","1",0.0893,53,53,"Max"
"238","24_05_08_cell7_ch0_up","1",0.1306,54,54,"Max"
"239","24_05_08_cell7_ch0_up","1",0.126,55,55,"Max"
"240","24_05_08_cell7_ch0_up","1",0.1028,56,56,"Max"
"241","24_05_08_cell7_ch0_up","1",0.1424,57,57,"Max"
"242","24_05_08_cell7_ch0_up","1",0.1194,58,58,"Max"
"243","24_05_08_cell7_ch0_up","1",0.1149,59,59,"Max"
"244","24_05_08_cell7_ch0_up","1",0.1271,60,60,"Max"
"245","24_05_08_cell7_ch0_up","2",0.0059,0,0,"Max"
"246","24_05_08_cell7_ch0_up","2",0.0054,1,1,"Max"
"247","24_05_08_cell7_ch0_up","2",0.008,2,2,"Max"
"248","24_05_08_cell7_ch0_up","2",-0.0193,3,3,"Max"
"249","24_05_08_cell7_ch0_up","2",0.0143,4,4,"Max"
"250","24_05_08_cell7_ch0_up","2",0.0077,5,5,"Max"
"251","24_05_08_cell7_ch0_up","2",0.0351,6,6,"Max"
"252","24_05_08_cell7_ch0_up","2",0.1183,7,7,"Max"
"253","24_05_08_cell7_ch0_up","2",0.1521,8,8,"Max"
"254","24_05_08_cell7_ch0_up","2",0.1495,9,9,"Max"
"255","24_05_08_cell7_ch0_up","2",0.1722,10,10,"Max"
"256","24_05_08_cell7_ch0_up","2",0.1865,11,11,"Max"
"257","24_05_08_cell7_ch0_up","2",0.1923,12,12,"Max"
"258","24_05_08_cell7_ch0_up","2",0.2021,13,13,"Max"
"259","24_05_08_cell7_ch0_up","2",0.1825,14,14,"Max"
"260","24_05_08_cell7_ch0_up","2",0.2251,15,15,"Max"
"261","24_05_08_cell7_ch0_up","2",0.2085,16,16,"Max"
"262","24_05_08_cell7_ch0_up","2",0.2041,17,17,"Max"
"263","24_05_08_cell7_ch0_up","2",0.2122,18,18,"Max"
"264","24_05_08_cell7_ch0_up","2",0.2257,19,19,"Max"
"265","24_05_08_cell7_ch0_up","2",0.2175,20,20,"Max"
"266","24_05_08_cell7_ch0_up","2",0.238,21,21,"Max"
"267","24_05_08_cell7_ch0_up","2",0.2293,22,22,"Max"
"268","24_05_08_cell7_ch0_up","2",0.1983,23,23,"Max"
"269","24_05_08_cell7_ch0_up","2",0.2298,24,24,"Max"
"270","24_05_08_cell7_ch0_up","2",0.24,25,25,"Max"
"271","24_05_08_cell7_ch0_up","2",0.2092,26,26,"Max"
"272","24_05_08_cell7_ch0_up","2",0.1935,27,27,"Max"
"273","24_05_08_cell7_ch0_up","2",0.1688,28,28,"Max"
"274","24_05_08_cell7_ch0_up","2",0.134,29,29,"Max"
"275","24_05_08_cell7_ch0_up","2",0.1459,30,30,"Max"
"276","24_05_08_cell7_ch0_up","2",0.1426,31,31,"Max"
"277","24_05_08_cell7_ch0_up","2",0.1122,32,32,"Max"
"278","24_05_08_cell7_ch0_up","2",0.1435,33,33,"Max"
"279","24_05_08_cell7_ch0_up","2",0.1279,34,34,"Max"
"280","24_05_08_cell7_ch0_up","2",0.0988,35,35,"Max"
"281","24_05_08_cell7_ch0_up","2",0.1339,36,36,"Max"
"282","24_05_08_cell7_ch0_up","2",0.1263,37,37,"Max"
"283","24_05_08_cell7_ch0_up","2",0.0907,38,38,"Max"
"284","24_05_08_cell7_ch0_up","2",0.1287,39,39,"Max"
"285","24_05_08_cell7_ch0_up","2",0.1272,40,40,"Max"
"286","24_05_08_cell7_ch0_up","2",0.092,41,41,"Max"
"287","24_05_08_cell7_ch0_up","2",0.1237,42,42,"Max"
"288","24_05_08_cell7_ch0_up","2",0.1118,43,43,"Max"
"289","24_05_08_cell7_ch0_up","2",0.1164,44,44,"Max"
"290","24_05_08_cell7_ch0_up","2",0.1255,45,45,"Max"
"291","24_05_08_cell7_ch0_up","2",0.1169,46,46,"Max"
"292","24_05_08_cell7_ch0_up","2",0.0993,47,47,"Max"
"293","24_05_08_cell7_ch0_up","2",0.1477,48,48,"Max"
"294","24_05_08_cell7_ch0_up","2",0.1268,49,49,"Max"
"295","24_05_08_cell7_ch0_up","2",0.112,50,50,"Max"
"296","24_05_08_cell7_ch0_up","2",0.1327,51,51,"Max"
"297","24_05_08_cell7_ch0_up","2",0.1275,52,52,"Max"
"298","24_05_08_cell7_ch0_up","2",0.111,53,53,"Max"
"299","24_05_08_cell7_ch0_up","2",0.1443,54,54,"Max"
"300","24_05_08_cell7_ch0_up","2",0.1402,55,55,"Max"
"301","24_05_08_cell7_ch0_up","2",0.1176,56,56,"Max"
"302","24_05_08_cell7_ch0_up","2",0.1466,57,57,"Max"
"303","24_05_08_cell7_ch0_up","2",0.1374,58,58,"Max"
"304","24_05_08_cell7_ch0_up","2",0.1424,59,59,"Max"
"305","24_05_08_cell7_ch0_up","2",0.1683,60,60,"Max"
"306","24_05_08_cell7_ch0_up","3",9e-04,0,0,"Max"
"307","24_05_08_cell7_ch0_up","3",0.0042,1,1,"Max"
"308","24_05_08_cell7_ch0_up","3",-7e-04,2,2,"Max"
"309","24_05_08_cell7_ch0_up","3",-0.0043,3,3,"Max"
"310","24_05_08_cell7_ch0_up","3",0.0071,4,4,"Max"
"311","24_05_08_cell7_ch0_up","3",0.0147,5,5,"Max"
"312","24_05_08_cell7_ch0_up","3",0.1404,6,6,"Max"
"313","24_05_08_cell7_ch0_up","3",0.2357,7,7,"Max"
"314","24_05_08_cell7_ch0_up","3",0.2524,8,8,"Max"
"315","24_05_08_cell7_ch0_up","3",0.245,9,9,"Max"
"316","24_05_08_cell7_ch0_up","3",0.2754,10,10,"Max"
"317","24_05_08_cell7_ch0_up","3",0.2881,11,11,"Max"
"318","24_05_08_cell7_ch0_up","3",0.2863,12,12,"Max"
"319","24_05_08_cell7_ch0_up","3",0.298,13,13,"Max"
"320","24_05_08_cell7_ch0_up","3",0.3029,14,14,"Max"
"321","24_05_08_cell7_ch0_up","3",0.3309,15,15,"Max"
"322","24_05_08_cell7_ch0_up","3",0.3261,16,16,"Max"
"323","24_05_08_cell7_ch0_up","3",0.3181,17,17,"Max"
"324","24_05_08_cell7_ch0_up","3",0.3304,18,18,"Max"
"325","24_05_08_cell7_ch0_up","3",0.3474,19,19,"Max"
"326","24_05_08_cell7_ch0_up","3",0.3372,20,20,"Max"
"327","24_05_08_cell7_ch0_up","3",0.3723,21,21,"Max"
"328","24_05_08_cell7_ch0_up","3",0.3659,22,22,"Max"
"329","24_05_08_cell7_ch0_up","3",0.3416,23,23,"Max"
"330","24_05_08_cell7_ch0_up","3",0.3816,24,24,"Max"
"331","24_05_08_cell7_ch0_up","3",0.4048,25,25,"Max"
"332","24_05_08_cell7_ch0_up","3",0.3658,26,26,"Max"
"333","24_05_08_cell7_ch0_up","3",0.3422,27,27,"Max"
"334","24_05_08_cell7_ch0_up","3",0.2872,28,28,"Max"
"335","24_05_08_cell7_ch0_up","3",0.2305,29,29,"Max"
"336","24_05_08_cell7_ch0_up","3",0.2497,30,30,"Max"
"337","24_05_08_cell7_ch0_up","3",0.213,31,31,"Max"
"338","24_05_08_cell7_ch0_up","3",0.1806,32,32,"Max"
"339","24_05_08_cell7_ch0_up","3",0.2191,33,33,"Max"
"340","24_05_08_cell7_ch0_up","3",0.199,34,34,"Max"
"341","24_05_08_cell7_ch0_up","3",0.1726,35,35,"Max"
"342","24_05_08_cell7_ch0_up","3",0.2015,36,36,"Max"
"343","24_05_08_cell7_ch0_up","3",0.2027,37,37,"Max"
"344","24_05_08_cell7_ch0_up","3",0.1681,38,38,"Max"
"345","24_05_08_cell7_ch0_up","3",0.2021,39,39,"Max"
"346","24_05_08_cell7_ch0_up","3",0.2109,40,40,"Max"
"347","24_05_08_cell7_ch0_up","3",0.1767,41,41,"Max"
"348","24_05_08_cell7_ch0_up","3",0.2038,42,42,"Max"
"349","24_05_08_cell7_ch0_up","3",0.1967,43,43,"Max"
"350","24_05_08_cell7_ch0_up","3",0.1946,44,44,"Max"
"351","24_05_08_cell7_ch0_up","3",0.2009,45,45,"Max"
"352","24_05_08_cell7_ch0_up","3",0.2,46,46,"Max"
"353","24_05_08_cell7_ch0_up","3",0.1811,47,47,"Max"
"354","24_05_08_cell7_ch0_up","3",0.2227,48,48,"Max"
"355","24_05_08_cell7_ch0_up","3",0.2073,49,49,"Max"
"356","24_05_08_cell7_ch0_up","3",0.1975,50,50,"Max"
"357","24_05_08_cell7_ch0_up","3",0.2111,51,51,"Max"
"358","24_05_08_cell7_ch0_up","3",0.211,52,52,"Max"
"359","24_05_08_cell7_ch0_up","3",0.1824,53,53,"Max"
"360","24_05_08_cell7_ch0_up","3",0.2234,54,54,"Max"
"361","24_05_08_cell7_ch0_up","3",0.2157,55,55,"Max"
"362","24_05_08_cell7_ch0_up","3",0.1946,56,56,"Max"
"363","24_05_08_cell7_ch0_up","3",0.2258,57,57,"Max"
"364","24_05_08_cell7_ch0_up","3",0.2093,58,58,"Max"
"365","24_05_08_cell7_ch0_up","3",0.2038,59,59,"Max"
"366","24_05_08_cell7_ch0_up","3",0.2219,60,60,"Max"
"367","24_05_9_cell01_ch0","1",-0.0096,0,0,"Max"
"368","24_05_9_cell01_ch0","1",-0.0025,1,1,"Max"
"369","24_05_9_cell01_ch0","1",0.0121,2,2,"Max"
"370","24_05_9_cell01_ch0","1",0.0059,3,3,"Max"
"371","24_05_9_cell01_ch0","1",0.0061,4,4,"Max"
"372","24_05_9_cell01_ch0","1",0.0108,5,5,"Max"
"373","24_05_9_cell01_ch0","1",0.1011,6,6,"Max"
"374","24_05_9_cell01_ch0","1",0.3387,7,7,"Max"
"375","24_05_9_cell01_ch0","1",0.4917,8,8,"Max"
"376","24_05_9_cell01_ch0","1",0.6324,9,9,"Max"
"377","24_05_9_cell01_ch0","1",0.6835,10,10,"Max"
"378","24_05_9_cell01_ch0","1",0.7319,11,11,"Max"
"379","24_05_9_cell01_ch0","1",0.7763,12,12,"Max"
"380","24_05_9_cell01_ch0","1",0.8051,13,13,"Max"
"381","24_05_9_cell01_ch0","1",0.8239,14,14,"Max"
"382","24_05_9_cell01_ch0","1",0.8651,15,15,"Max"
"383","24_05_9_cell01_ch0","1",0.875,16,16,"Max"
"384","24_05_9_cell01_ch0","1",0.8894,17,17,"Max"
"385","24_05_9_cell01_ch0","1",0.8952,18,18,"Max"
"386","24_05_9_cell01_ch0","1",0.9052,19,19,"Max"
"387","24_05_9_cell01_ch0","1",0.8998,20,20,"Max"
"388","24_05_9_cell01_ch0","1",0.9141,21,21,"Max"
"389","24_05_9_cell01_ch0","1",0.9453,22,22,"Max"
"390","24_05_9_cell01_ch0","1",0.9435,23,23,"Max"
"391","24_05_9_cell01_ch0","1",0.9528,24,24,"Max"
"392","24_05_9_cell01_ch0","1",0.9521,25,25,"Max"
"393","24_05_9_cell01_ch0","1",0.8674,26,26,"Max"
"394","24_05_9_cell01_ch0","1",0.7874,27,27,"Max"
"395","24_05_9_cell01_ch0","1",0.6527,28,28,"Max"
"396","24_05_9_cell01_ch0","1",0.5597,29,29,"Max"
"397","24_05_9_cell01_ch0","1",0.4821,30,30,"Max"
"398","24_05_9_cell01_ch0","1",0.4277,31,31,"Max"
"399","24_05_9_cell01_ch0","1",0.3789,32,32,"Max"
"400","24_05_9_cell01_ch0","1",0.3728,33,33,"Max"
"401","24_05_9_cell01_ch0","1",0.351,34,34,"Max"
"402","24_05_9_cell01_ch0","1",0.3258,35,35,"Max"
"403","24_05_9_cell01_ch0","1",0.298,36,36,"Max"
"404","24_05_9_cell01_ch0","1",0.3007,37,37,"Max"
"405","24_05_9_cell01_ch0","1",0.287,38,38,"Max"
"406","24_05_9_cell01_ch0","1",0.2787,39,39,"Max"
"407","24_05_9_cell01_ch0","1",0.2569,40,40,"Max"
"408","24_05_9_cell01_ch0","1",0.2325,41,41,"Max"
"409","24_05_9_cell01_ch0","1",0.2061,42,42,"Max"
"410","24_05_9_cell01_ch0","1",0.2289,43,43,"Max"
"411","24_05_9_cell01_ch0","1",0.2127,44,44,"Max"
"412","24_05_9_cell01_ch0","1",0.1984,45,45,"Max"
