NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
1000,494.49420,-53.06,494.50140,-94.38,494.51760,-53.06,0.09300,41.31,335.09,
1001,494.58240,-50.99,494.59440,-84.69,494.61450,-50.99,0.27330,33.70,410.86,
1002,494.86290,-46.82,494.86770,-86.09,494.88210,-46.82,0.68250,39.27,301.47,
1003,495.53700,-59.88,495.55020,-110.47,495.57030,-59.88,0.44490,50.59,789.51,
1004,495.99030,-58.72,495.99510,-112.03,496.00980,-58.72,1.13250,53.31,358.96,
1005,497.11950,-49.49,497.12760,-89.53,497.14080,-49.49,0.71850,40.04,288.01,
1006,497.84010,-53.95,497.84610,-86.88,497.86290,-53.95,0.14580,32.93,204.80,
1007,497.98710,-54.11,497.99190,-92.81,498.00660,-54.11,1.59450,38.70,196.59,
1008,499.57920,-55.29,499.58640,-91.88,499.60080,-55.29,0.67170,36.58,211.71,
1009,500.25210,-39.05,500.25810,-87.81,500.27520,-39.05,0.73440,48.77,306.73,
1010,500.98770,-43.77,500.99250,-87.19,501.01260,-43.77,0.19680,43.42,413.70,
1011,501.18450,-44.17,501.18930,-93.59,501.20940,-44.17,0.49260,49.43,541.55,
1012,501.67830,-41.63,501.68190,-77.19,501.70110,-41.63,0.79050,35.56,334.24,
1013,502.45890,-56.71,502.47240,-100.78,502.48950,-56.71,0.31410,44.07,604.73,
1014,502.77930,-51.62,502.78650,-89.06,502.80360,-51.62,0.12480,37.44,319.91,
1015,502.90530,-49.43,502.91130,-101.72,502.93140,-49.43,0.35490,52.28,546.39,
1016,503.25900,-46.58,503.26620,-91.41,503.28630,-46.58,1.61430,44.83,495.65,
1017,504.87330,-60.22,504.88050,-92.66,504.89790,-60.22,1.60110,32.44,283.61,
1018,506.47800,-51.77,506.48160,-99.22,506.49990,-51.77,1.50450,47.45,305.66,
1019,507.98130,-58.36,507.98610,-104.53,507.99810,-58.36,0.82770,46.17,253.31,
1020,508.80660,-55.78,508.81380,-101.25,508.83390,-55.78,1.01490,45.47,403.30,
1021,509.81820,-41.91,509.82870,-80.31,509.84730,-41.91,7.32030,38.40,295.18,
1022,517.14540,-46.64,517.14900,-91.25,517.16160,-46.64,1.91310,44.61,365.46,
1023,519.04890,-46.09,519.06210,-96.25,519.08160,-46.09,1.33080,50.16,581.29,
1024,520.38090,-52.98,520.39290,-94.22,520.41090,-52.98,0.44040,41.24,345.26,
1025,520.82730,-48.11,520.83330,-81.88,520.84320,-48.11,2.66250,33.77,153.06,
1026,523.48710,-44.11,523.49580,-96.41,523.50960,-44.11,1.65060,52.29,320.78,
1027,525.14160,-52.53,525.14640,-103.91,525.16650,-52.53,0.20640,51.38,538.48,
1028,525.34530,-51.68,525.35280,-89.69,525.36870,-51.68,0.06630,38.01,275.86,
1029,525.40680,-58.12,525.41910,-99.84,525.43260,-58.12,0.29610,41.72,398.66,
1030,525.70260,-46.19,525.71520,-78.28,525.72600,-46.19,1.55730,32.09,196.26,
1031,527.26650,-39.21,527.27250,-71.41,527.28360,-39.21,2.29080,32.20,169.61,
1032,529.55850,-44.97,529.56330,-88.59,529.58160,-44.97,2.74980,43.63,344.45,
1033,532.29960,-40.42,532.31310,-83.44,532.33320,-40.42,0.60480,43.02,569.61,
1034,532.91430,-40.01,532.91790,-76.41,532.93650,-40.01,2.21400,36.40,343.69,
1035,535.12470,-40.65,535.13190,-101.56,535.15200,-40.65,2.17890,60.92,624.44,
1036,537.30000,-40.58,537.31080,-86.56,537.32100,-40.58,3.63960,45.98,271.41,
1037,540.94440,-48.49,540.95040,-100.63,540.97050,-48.49,1.17780,52.13,431.40,
1038,542.12100,-54.13,542.12820,-90.78,542.14230,-54.13,3.04740,36.65,200.15,
1039,545.17080,-56.00,545.17560,-98.13,545.18370,-56.00,1.05300,42.13,193.84,
1040,546.21900,-55.20,546.22860,-101.88,546.24240,-55.20,0.48390,46.68,318.97,
1041,546.70140,-51.96,546.71250,-97.34,546.72360,-51.96,0.07230,45.38,366.85,
1042,546.77160,-56.64,546.78480,-106.09,546.80190,-56.64,0.00000,49.45,482.93,

