NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
534,169.95780,190.95,169.96500,152.34,169.97670,190.95,0.77370,38.61,208.02,
535,170.72910,168.38,170.73870,125.16,170.75370,168.38,0.29760,43.22,419.67,
536,171.02370,171.14,171.03630,137.81,171.05130,171.14,0.06120,33.33,376.39,
537,171.08880,167.38,171.09750,129.53,171.11250,167.38,0.55140,37.85,295.98,
538,171.63570,151.37,171.64890,117.97,171.66240,151.37,1.25610,33.40,329.27,
539,172.89690,122.43,172.90500,63.91,172.92000,122.43,1.20480,58.52,560.52,
540,174.10380,115.62,174.10980,80.78,174.12210,115.62,0.14340,34.84,259.08,
541,174.24150,101.85,174.25320,53.28,174.26820,101.85,0.61050,48.57,398.72,
542,174.85590,95.72,174.86370,45.63,174.87780,95.72,0.26370,50.09,485.33,
543,175.12020,102.13,175.12740,66.56,175.13910,102.13,0.22290,35.56,197.55,
544,175.34160,92.29,175.35030,58.28,175.35900,92.29,0.04500,34.01,216.53,
545,175.39170,99.25,175.39530,64.22,175.40790,99.25,0.79110,35.03,125.49,
546,176.17290,95.94,176.18640,56.56,176.20080,95.94,0.08220,39.38,387.91,
547,176.26260,96.78,176.26860,62.50,176.28270,96.78,0.16650,34.28,257.68,
548,176.43120,80.60,176.43510,45.00,176.44830,80.60,0.31410,35.60,211.88,
549,176.74320,100.59,176.74920,67.97,176.76420,100.59,0.38220,32.62,322.11,
550,177.11850,95.80,177.13140,23.75,177.14640,95.80,0.12210,72.05,1006.64,
551,177.24630,83.98,177.25350,48.91,177.26220,83.98,0.52110,35.07,210.09,
552,177.76710,86.83,177.77460,50.31,177.78300,86.83,0.04380,36.51,123.44,
553,177.81330,81.47,177.81840,48.28,177.83130,81.47,0.07710,33.19,253.85,
554,177.88440,82.83,177.89550,48.28,177.90540,82.83,0.36270,34.55,236.23,
555,178.24500,85.46,178.25820,47.19,178.27320,85.46,0.08490,38.28,348.96,
556,178.33590,76.33,178.34310,-20.00,178.35810,76.33,2.11170,96.33,801.78,
557,180.45000,72.40,180.45480,13.91,180.46980,72.40,0.28320,58.49,580.16,
558,180.72810,66.90,180.73800,-2.34,180.75300,66.90,0.17910,69.24,700.05,
559,180.90630,48.96,180.91710,8.28,180.93210,48.96,1.35660,40.68,371.95,
560,182.26440,57.62,182.27370,19.22,182.28870,57.62,0.05610,38.40,308.88,
561,182.32500,56.12,182.32980,17.97,182.34360,56.12,0.12690,38.15,293.70,
562,182.44410,65.63,182.45670,31.25,182.46390,65.63,0.21330,34.38,192.88,
563,182.66280,56.79,182.67000,22.66,182.67960,56.79,0.22740,34.14,154.15,
564,182.89230,57.08,182.89740,23.44,182.91240,57.08,0.03540,33.65,332.55,
565,182.92920,60.11,182.93280,22.66,182.94510,60.11,0.50460,37.46,237.64,
566,183.43140,40.12,183.43740,4.53,183.44580,40.12,0.11550,35.59,152.72,
567,183.54480,20.65,183.55290,-18.59,183.56040,20.65,0.60630,39.24,243.40,
568,184.14570,30.38,184.15920,-4.38,184.16670,30.38,0.23550,34.76,253.89,
569,184.38480,43.40,184.39470,9.53,184.40970,43.40,0.04020,33.87,289.57,
570,184.42620,47.32,184.43490,-4.38,184.44990,47.32,0.13230,51.69,572.43,
571,184.55400,35.76,184.56720,-27.81,184.58160,35.76,0.16680,63.57,677.47,
572,184.72800,38.48,184.73400,2.97,184.74660,38.48,0.30270,35.51,172.43,
573,185.02590,37.81,185.03670,4.53,185.04540,37.81,0.83790,33.28,170.27,
574,185.86170,38.63,185.87460,5.94,185.88180,38.63,0.24030,32.69,206.32,
575,186.10350,40.50,186.11490,5.47,186.12510,40.50,0.81870,35.03,284.50,
576,186.92400,39.62,186.93360,6.72,186.94410,39.62,0.24030,32.90,178.57,
577,187.16100,34.78,187.17390,1.25,187.18080,34.78,0.85800,33.53,168.12,
578,188.02320,40.49,188.03190,-8.44,188.04690,40.49,0.12420,48.92,592.53,
579,188.14320,39.24,188.15610,0.63,188.16510,39.24,0.15990,38.61,183.05,
580,188.30280,30.11,188.31600,-6.56,188.32350,30.11,0.24120,36.67,250.25,
581,188.55360,10.90,188.55720,-23.28,188.56590,10.90,0.15180,34.18,140.48,
582,188.69940,31.99,188.70900,-19.38,188.72400,31.99,0.38460,51.37,487.65,
583,189.08400,30.88,189.09360,-6.88,189.10380,30.88,0.62940,37.75,249.81,
584,189.70950,20.16,189.72300,-25.94,189.73800,20.16,0.09900,46.10,463.95,
585,189.81090,18.55,189.82200,-14.69,189.83640,18.55,0.32910,33.24,286.78,
586,190.13760,37.24,190.15110,2.66,190.16280,37.24,0.17790,34.58,346.06,
587,190.32300,36.92,190.32900,3.13,190.34400,36.92,0.68220,33.79,332.53,
588,190.99830,39.17,191.01120,1.25,191.02140,39.17,1.08180,37.92,305.72,
589,192.08340,27.59,192.09300,-6.25,192.10050,27.59,0.56250,33.84,186.56,
590,192.64200,18.87,192.65550,-15.16,192.66300,18.87,0.06690,34.02,273.21,
591,192.71220,17.26,192.72240,-25.00,192.73740,17.26,0.16980,42.26,562.03,
592,192.87960,26.52,192.89220,-9.69,192.90720,26.52,0.34800,36.21,386.42,
593,193.23030,6.77,193.24020,-35.00,193.25460,6.77,0.49200,41.77,370.59,
594,193.72500,19.62,193.73220,-48.13,193.74720,19.62,0.32070,67.74,655.83,
595,194.04390,27.15,194.05290,-7.03,194.05980,27.15,0.40200,34.18,179.83,
596,194.44380,20.76,194.45490,-11.41,194.46330,20.76,0.78000,32.17,221.36,
597,195.22170,16.99,195.23490,-24.53,195.24600,16.99,0.09240,41.52,311.59,
598,195.31650,19.26,195.32730,-23.28,195.33570,19.26,0.40500,42.54,239.53,
599,195.71880,18.82,195.73230,-35.63,195.74070,18.82,0.49260,54.44,387.11,
600,196.21890,16.73,196.22490,-17.50,196.23990,16.73,0.06180,34.23,320.01,
601,196.28070,-0.04,196.28670,-38.44,196.29840,-0.04,0.06150,38.40,214.47,
602,196.34100,15.93,196.34820,-44.53,196.36320,15.93,0.04500,60.47,542.19,
603,196.38000,7.96,196.39320,-24.53,196.40820,7.96,0.40920,32.49,381.68,
604,196.79130,2.89,196.80240,-32.66,196.81740,2.89,0.30990,35.55,325.04,
605,197.10000,12.50,197.11230,-20.47,197.12280,12.50,0.60000,32.97,220.99,
606,197.69940,-2.04,197.71230,-34.69,197.72490,-2.04,0.22440,32.65,218.58,
607,197.92800,9.07,197.93670,-51.25,197.95170,9.07,0.33390,60.32,550.83,
608,198.26460,-2.08,198.27060,-37.50,198.28350,-2.08,0.11880,35.42,290.36,
