NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
328,136.101,-29.23,136.1064,-41.77,136.119,-29.23,1.4034,12.54,112.24
329,137.5023,-30.51,137.5098,-55.81,137.5224,-30.51,0.5556,25.3,222.2
330,138.06,-28.51,138.0654,-42.87,138.078,-28.51,0.3213,14.36,147.98
331,138.3837,-30.03,138.3867,-50.16,138.3993,-30.03,0.1542,20.13,151.59
332,138.5331,-30.85,138.5409,-60.01,138.5535,-30.85,0.8064,29.16,157.52
333,139.3434,-28.87,139.3473,-45.96,139.3599,-28.87,0.3126,17.09,122.06
334,139.6515,-29.26,139.6599,-42.88,139.6725,-29.26,0.2082,13.62,114.53
335,139.8612,-30.35,139.8681,-48.59,139.8807,-30.35,1.0398,18.24,118.09
336,140.9025,-29.47,140.9079,-42.08,140.9205,-29.47,1.3197,12.61,113.51
337,142.2246,-29.37,142.2276,-47.22,142.2402,-29.37,0.1911,17.86,149.92
338,142.4133,-27.3,142.4187,-45.3,142.4313,-27.3,0.8064,18,151.92
339,143.2215,-29.95,143.2251,-43.09,143.2377,-29.95,0.2973,13.14,91.79
340,143.52,-30.18,143.5224,-60.67,143.535,-30.18,0.9513,30.49,229.27
341,144.4677,-29.43,144.4737,-48.14,144.4863,-29.43,0.0624,18.71,197.73
342,144.5325,-29.54,144.5361,-45.38,144.5487,-29.54,0.5565,15.84,86.73
343,145.086,-30.56,145.0926,-58.07,145.1052,-30.56,0.0765,27.51,233.72
344,145.1631,-27.38,145.1691,-43.02,145.1817,-27.38,0.1875,15.64,142.67
345,145.3479,-30.4,145.3566,-44.37,145.3692,-30.4,0.5937,13.97,127.87
346,145.9431,-27.84,145.9503,-39.96,145.9629,-27.84,0.9666,12.12,114.05
347,146.9112,-27.84,146.9169,-56.92,146.9295,-27.84,0.5313,29.08,270.15
348,147.4425,-27.07,147.4482,-49.12,147.4608,-27.07,0.2445,22.05,286.39
349,147.6891,-27.9,147.6927,-50.14,147.7053,-27.9,1.0101,22.23,139.03
350,148.695,355.75,148.7028,100.66,148.7154,355.75,0.0132,255.1,4538.59
351,148.7112,129.08,148.716,4.47,148.7286,129.08,0.0198,124.61,694.44
352,148.731,138.11,148.7358,7.06,148.7484,138.11,0.0186,131.05,844.58
353,148.7511,125.78,148.7544,51.49,148.767,125.78,0.1899,74.29,510.48
354,148.9374,94.48,148.9443,85.13,148.9569,94.48,0.36,9.34,106.67
355,149.2968,92,149.3043,76.29,149.3169,92,0.0648,15.71,135.54
356,149.3658,90.07,149.3691,73.92,149.3817,90.07,0.3186,16.15,128.65
357,149.682,94.17,149.6877,78.81,149.7003,94.17,0.6186,15.36,172.45
358,150.3012,89.38,150.3063,68.3,150.3189,89.38,0.528,21.09,173.93
359,150.8301,87.59,150.8343,59.46,150.8469,87.59,0.0324,28.13,262.63
360,150.858,88.77,150.8667,71.2,150.8793,88.77,4.1262,17.57,194.15
361,154.9851,85.28,154.9929,67.76,155.0055,85.28,1.5198,17.52,119.5
362,156.51,85.39,156.5127,72.84,156.5253,85.39,0.045,12.56,75
363,156.5529,86,156.5577,67.4,156.5703,86,0.2715,18.6,180.29
364,156.8253,81.85,156.8292,47.15,156.8418,81.85,0.4134,34.7,319.28
365,157.236,85.01,157.2426,66.15,157.2552,85.01,1.3968,18.86,179.51
366,158.6325,81.81,158.6394,64.37,158.652,81.81,0.0477,17.45,155.83
367,158.6808,86.24,158.6871,75.44,158.6997,86.24,0.0375,10.8,127.23
368,158.7162,82.98,158.7246,58,158.7372,82.98,0.6729,24.97,222.27
369,159.3921,77.05,159.3975,64.27,159.4071,77.05,0.5733,12.78,95.55
370,159.9669,81.99,159.9708,63.03,159.9834,81.99,0.5043,18.96,181.06
371,160.4727,78.25,160.4751,48.06,160.4877,78.25,0.3171,30.19,181.06
372,160.7838,81.34,160.7922,60.61,160.8048,81.34,0.3717,20.73,197.54
373,161.1564,84.25,161.1639,72.03,161.1765,84.25,0.1971,12.22,145.83
374,161.3586,76.76,161.361,55.46,161.3703,76.76,0.0573,21.3,106.54
375,161.4138,75.91,161.4183,60.25,161.4309,75.91,0.4887,15.65,123.77
376,161.9016,82.73,161.907,68.06,161.9163,82.73,2.0019,14.67,58.11
377,163.9014,76.73,163.9089,65.81,163.9215,76.73,0.7494,10.92,129.45
378,164.6502,77.15,164.6583,67.97,164.6709,77.15,0.2844,9.18,104.27
379,164.934,75.03,164.9427,56.03,164.9553,75.03,0.333,19,132.66
380,165.2724,73.41,165.2757,57.62,165.2883,73.41,0.3276,15.79,81.08
381,165.5949,83.9,165.6033,70.13,165.6159,83.9,0.366,13.77,174.02
382,165.9615,80.28,165.9693,59.64,165.9819,80.28,0.5643,20.63,193.92
383,166.5303,79.68,166.5336,60.98,166.5462,79.68,0.1824,18.7,180.06
384,166.7073,79.69,166.716,60.41,166.7286,79.69,0.6762,19.28,172.09
385,167.3835,74.79,167.3922,60.44,167.4048,74.79,0.5475,14.35,113.89
386,167.931,82.66,167.9397,68.93,167.9523,82.66,0.7611,13.73,121.54
387,168.6948,86.59,168.7008,74.56,168.7134,86.59,0.0072,12.03,237.38
388,168.7026,78.1,168.708,61.96,168.7206,78.1,1.5624,16.15,127.67
389,170.2665,77.13,170.2704,57.33,170.2824,77.13,1.2594,19.8,123.61
390,171.5271,76.22,171.5298,56.01,171.5424,76.22,0.8139,20.21,128.67
391,172.3389,82.46,172.3437,70.67,172.3563,82.46,1.2117,11.79,123.76
392,173.5518,81.67,173.5554,65.08,173.568,81.67,2.952,16.59,148.76
393,176.5017,77.81,176.5074,63.67,176.52,77.81,0.9057,14.14,105.67
394,177.4083,78.67,177.4131,34.56,177.4257,78.67,0.0498,44.11,376.7
395,177.4542,83.73,177.4629,70.1,177.4755,83.73,0.9033,13.63,175.18
396,178.3638,78.89,178.3662,63.13,178.3788,78.89,0.2628,15.76,130.53
