NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC]
147,16.6893,-247.06,16.6947,-294.38,16.707,-247.06,0.2211,47.32,241.78
148,16.911,-246.92,16.9158,-288.19,16.9263,-246.92,0.1797,41.26,219.6
149,17.0919,-260.46,17.0955,-317.63,17.1015,-260.46,0.0456,57.16,139.84
150,17.1363,-260.64,17.1411,-318.19,17.1462,-260.64,0.1062,57.55,181.51
151,17.2425,-246.22,17.2473,-294.75,17.2566,-246.22,0.0414,48.53,142.28
152,17.2851,-247.61,17.2887,-318.75,17.3016,-247.61,0.1395,71.14,512.44
153,17.4228,-245.67,17.4282,-312,17.4411,-245.67,0.0249,66.33,653.04
154,17.4495,-255.72,17.4531,-297,17.4621,-255.72,0.1119,41.28,124.57
155,17.5626,-240.55,17.565,-294.06,17.5779,-240.55,0.0453,53.51,380.98
156,17.6049,-250.5,17.6103,-291,17.6232,-250.5,0.0981,40.5,247.77
157,17.7048,-252.96,17.7084,-304.13,17.715,-252.96,0.1008,51.16,156.68
158,17.8038,-253.49,17.8092,-290.69,17.8221,-253.49,0.0699,37.2,175.09
159,17.8734,-255.22,17.8791,-336.13,17.8893,-255.22,0.2043,80.9,503.22
160,18.0786,-243.55,18.0834,-311.88,18.0963,-243.55,0.1377,68.33,391.35
161,18.2175,-264.46,18.2211,-308.25,18.228,-264.46,0.2655,43.79,151.49
162,18.4812,-236.62,18.4866,-278.06,18.4995,-236.62,0.1281,41.44,352.5
163,18.6096,-260.53,18.6147,-311.5,18.6216,-260.53,0.1998,50.97,174.9
164,18.8094,-265.06,18.8145,-354.56,18.8235,-265.06,0.1773,89.5,413.92
165,18.9882,-248.75,18.9918,-290.94,19.0047,-248.75,0.1449,42.18,251.98
166,19.1319,-253.65,19.1367,-319.19,19.1496,-253.65,0.1032,65.54,337.19
167,19.2345,-258.38,19.2399,-296.56,19.2513,-258.38,0.1317,38.18,143.24
168,19.3665,-263.81,19.3716,-309.06,19.3794,-263.81,0.0258,45.25,141.99
169,19.3926,-255.46,19.3974,-319,19.4088,-255.46,0.0558,63.54,451.62
170,19.4496,-235.01,19.4532,-288.75,19.4661,-235.01,0.3045,53.74,348.97
171,19.7553,-250.91,19.7577,-297.63,19.7646,-250.91,0.3402,46.71,170.94
172,20.0943,-261.16,20.0979,-298,20.1048,-261.16,0.1266,36.84,117.25
173,20.2185,-263.05,20.2245,-307.44,20.2314,-263.05,0.141,44.39,182.27
174,20.3607,-253.04,20.3655,-321.88,20.3766,-253.04,0.0855,68.84,314.48
175,20.4456,-257.22,20.451,-303,20.4639,-257.22,0.0945,45.78,274.91
176,20.5401,-251.94,20.5455,-294.31,20.5533,-251.94,0.1527,42.37,126.1
177,20.6928,-253.99,20.6982,-293.63,20.7111,-253.99,0.0708,39.63,256.38
178,20.7666,-248.46,20.769,-286.69,20.7819,-248.46,0.0798,38.23,191.04
179,20.8434,-254.07,20.8488,-296.25,20.8605,-254.07,0.4311,42.18,279.86
180,21.2751,-248.49,21.2799,-290.81,21.2898,-248.49,0.0564,42.32,168.8
181,21.3315,-250.04,21.3363,-304.38,21.3492,-250.04,0.3399,54.34,388.2
182,21.6726,-248.81,21.6762,-297.25,21.687,-248.81,0.165,48.44,195.13
183,21.8358,-252.05,21.8412,-296.06,21.8541,-252.05,0.1014,44.01,262.32
184,21.9372,-262.03,21.9426,-322.56,21.9513,-262.03,0.0135,60.53,292.84
185,21.9513,-265.65,21.9561,-328,21.966,-265.65,0.3087,62.35,300.33
186,22.2594,-246.84,22.2648,-289.56,22.2732,-246.84,0.132,42.72,263.55
187,22.3911,-250.93,22.3968,-304.25,22.4076,-250.93,0.2685,53.32,385.18
188,22.6629,-266.27,22.6653,-305.5,22.6722,-266.27,0.1137,39.23,184.24
189,22.7736,-245.83,22.779,-284.81,22.7895,-245.83,0.3132,38.98,229.15
190,23.0871,-253.29,23.0922,-317.56,23.1045,-253.29,0.0771,64.27,343.33
191,23.1639,-252.05,23.1693,-304.25,23.1789,-252.05,0.0678,52.2,251.52
192,23.2347,-249.74,23.2371,-289.88,23.247,-249.74,0.0297,40.14,142.53
193,23.2614,-258.9,23.2668,-295.06,23.2764,-258.9,0.2091,36.16,180.37
194,23.4711,-265.28,23.4759,-309.69,23.4816,-265.28,0.0414,44.41,103.93
195,23.5137,-254.29,23.5173,-293.56,23.5272,-254.29,0.093,39.28,167.04
196,23.6049,-257.46,23.6103,-297.19,23.6184,-257.46,0.0813,39.73,197.62
197,23.6865,-255.59,23.6916,-293.63,23.7003,-255.59,0.0756,38.03,194.32
198,23.7627,-264.85,23.7672,-301.69,23.7774,-264.85,0.1143,36.83,163.2
199,23.8761,-258.17,23.8815,-293.69,23.8887,-258.17,0.0849,35.52,147.07
200,23.9628,-240.03,23.9664,-288.25,23.9793,-240.03,0.0612,48.22,316.6
201,24.0228,-263.97,24.0276,-300.81,24.0366,-263.97,0.0564,36.85,157.44
202,24.0804,-259.03,24.084,-294.25,24.0969,-259.03,0.0639,35.22,252.87
203,24.1425,-252.44,24.1479,-297.81,24.1548,-252.44,0.0591,45.37,145.89
204,24.2034,-251.33,24.207,-290.38,24.2157,-251.33,0.0372,39.04,139.68
205,24.2388,-255.37,24.2442,-299.38,24.2526,-255.37,0.063,44.01,223.85
206,24.3024,-263.05,24.3072,-316,24.3141,-263.05,0.1293,52.95,165.53
207,24.4311,-243.63,24.4365,-288.88,24.4494,-243.63,0.1638,45.24,359.11
