NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area,
[-],[s],[pA],[s],[pA],[s],[pA],[s],[pA],[fC],
87,13.71240,-1.72,13.71630,-56.72,13.72980,-8.91,0.38790,55.00,452.58,
88,14.09640,2.66,14.10420,-62.34,14.11200,-2.34,0.16650,65.00,470.44,
89,14.26470,-4.01,14.27070,-64.69,14.28030,-13.59,0.02190,60.68,418.53,
90,14.28840,-5.99,14.29260,-58.13,14.30430,-0.47,0.05760,52.14,356.34,
91,14.34540,-9.06,14.35020,-58.13,14.35800,-8.28,0.16200,49.06,267.42,
92,14.50350,-7.50,14.51220,-77.03,14.52000,-7.66,0.15120,69.53,401.30,
93,14.65830,-13.23,14.66340,-80.78,14.67240,-10.47,0.39870,67.55,378.89,
94,15.05490,-12.66,15.06210,-64.53,15.06780,-13.44,0.19380,51.88,311.58,
95,15.25140,-12.24,15.25590,-84.06,15.26550,-20.31,0.10050,71.82,534.19,
96,15.34860,7.03,15.35640,-61.41,15.36630,-13.91,0.02400,68.44,550.88,
97,15.37380,-3.54,15.38040,-86.56,15.38910,-25.78,0.10170,83.02,755.83,
98,15.47820,2.50,15.48210,-58.75,15.49140,-12.34,0.57690,61.25,513.66,
99,16.05660,-2.34,16.05900,-72.50,16.07610,-46.09,0.11700,70.16,671.25,
100,16.17060,-22.50,16.17600,-85.94,16.19040,-26.41,0.08100,63.44,588.89,
101,16.25250,-10.57,16.25700,-81.88,16.26600,-19.38,0.09120,71.30,448.47,
102,16.33980,-16.56,16.34820,-104.06,16.35600,-33.28,0.15690,87.50,798.28,
103,16.49910,-11.67,16.50510,-76.56,16.51020,-14.84,0.28290,64.90,302.37,
104,16.78470,14.06,16.78800,-44.38,16.80390,-27.50,0.04920,58.44,695.53,
105,16.83210,-0.68,16.83720,-63.12,16.84620,2.97,0.05580,62.45,456.52,
106,16.89060,-35.10,16.89300,-94.22,16.89900,-31.25,0.41520,59.11,215.23,
107,17.29830,-8.28,17.30820,-62.34,17.31690,1.87,0.65250,54.06,217.64,
108,17.95140,-49.95,17.96070,-85.16,17.96820,-34.06,0.09330,35.21,58.17,
109,18.04740,-30.89,18.05400,-118.13,18.06540,-31.09,0.45060,87.24,613.28,
110,18.49320,-16.20,18.50460,-82.66,18.51120,-11.88,0.31020,66.46,559.70,
111,18.80550,-37.66,18.81480,-78.44,18.82560,-16.72,0.24750,40.78,241.59,
112,19.05720,2.86,19.06230,-75.78,19.07550,-14.06,0.17100,78.65,662.84,
