NumEvent,TimRef,Ref,TimPeak,Peak,TimEnd,End,IEI,Amp,Area
26073,383.5716,-237.64,383.5767,-249.69,383.5839,-237.64,0.0135,12.05,23.71
26074,383.5848,-232.25,383.5902,-238.75,383.5974,-232.25,0.0159,6.5,37.26
26075,383.6025,-234.46,383.6061,-241.31,383.6112,-234.46,0.0255,6.85,26.93
26076,383.6265,-232,383.6316,-242.75,383.6352,-232,0.006,10.75,36.41
26077,383.6352,-237.69,383.6376,-247.69,383.643,-237.69,0.0123,10,20.14
26078,383.6451,-239.65,383.6499,-273.19,383.6628,-239.65,0.018,33.54,219.6
26079,383.6631,-243.12,383.6679,-252.38,383.667,-243.12,0.0045,9.25,6.81
26080,383.667,-246.61,383.6724,-273.75,383.6838,-246.61,0.0198,27.14,231.53
26081,383.6868,-240.32,383.6922,-252.06,383.6988,-240.32,0.0177,11.75,48.72
26082,383.7063,-238.95,383.7099,-251.63,383.7177,-238.95,0.0177,12.68,47.48
26083,383.724,-235.34,383.7276,-263.56,383.7243,-235.34,0.0024,28.22,0
26084,383.7243,-236.37,383.73,-256.94,383.7345,-236.37,0.0069,20.57,119.5
26085,383.7345,-239.01,383.7369,-255.5,383.7447,-239.01,0.0132,16.49,48.64
26086,383.7447,-240.71,383.7501,-254.44,383.7588,-240.71,0.0207,13.73,84.57
26087,383.7693,-238.11,383.7708,-244.94,383.7837,-238.11,0.0336,6.83,73.45
26088,383.8008,-231.11,383.8044,-248.19,383.8173,-231.11,0.0264,17.08,185.98
26089,383.8254,-236.21,383.8308,-253.06,383.8425,-236.21,0.0141,16.86,98.51
26090,383.8425,-241.51,383.8449,-248.94,383.85,-241.51,0.0306,7.43,5.46
26091,383.8731,-238.56,383.8755,-246.56,383.8827,-238.56,0.0126,8,31.97
26092,383.8827,-240.44,383.8881,-283.31,383.8998,-240.44,0.0258,42.87,228.97
26093,383.9091,-245.7,383.9139,-262.5,383.9214,-245.7,0.0141,16.8,78.41
26094,383.9256,-244.97,383.928,-250.44,383.9265,-244.97,0.0039,5.47,0.28
26095,383.9265,-246.09,383.9319,-256.06,383.9379,-246.09,0.0198,9.98,41.27
26096,383.949,-240.64,383.9517,-249.62,383.9577,-240.64,0.0216,8.99,31.2
26097,383.9679,-236.03,383.9733,-243.19,383.9706,-236.03,0.0027,7.16,0
26098,383.9706,-236.47,383.976,-257.56,383.9865,-236.47,0.0312,21.09,99.59
26099,384.0018,-233.81,384.0072,-255.31,384.0126,-233.81,0.0165,21.51,94.81
26100,384.0204,-224.99,384.0237,-234.44,384.0297,-224.99,0.0108,9.44,21.28
26101,384.0297,-224.4,384.0345,-244.19,384.0411,-224.4,0.0216,19.79,67.19
26102,384.0525,-239.31,384.0561,-254,384.0558,-239.31,0.0036,14.69,12.93
26103,384.0558,-246.79,384.0597,-262.06,384.0561,-246.79,0.0015,15.27,4.06
26104,384.0561,-246.33,384.0612,-260.69,384.0678,-246.33,0.0117,14.35,70.72
26105,384.0705,-240.08,384.0729,-283.94,384.0783,-240.08,0.0201,43.86,131.52
26106,384.0894,-230.29,384.093,-239.81,384.1023,-230.29,0.0309,9.52,54.84
26107,384.1182,-234.24,384.1239,-242.56,384.1299,-234.24,0.0156,8.33,42.33
26108,384.1341,-227.87,384.1395,-243.69,384.1458,-227.87,0.0105,15.82,51.75
26109,384.1473,-227.84,384.15,-241.19,384.1533,-227.84,0.0078,13.35,42.43
26110,384.1533,-233.78,384.1578,-240,384.1563,-233.78,0.0012,6.22,0
26111,384.1563,-234.59,384.159,-241.06,384.1635,-234.59,0.0075,6.47,0
26112,384.1635,-229.2,384.1665,-235,384.1668,-229.2,0.0057,5.8,11.46
26113,384.1668,-232.06,384.1722,-239.75,384.1773,-232.06,0.0201,7.69,4.52
