ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,21,23,2.0,down,558.763,-0.08845076451711366,-0.05919853242526485
cell4_01_17_03,17_03,cell4_17_03,1,10,21,24,3.0,cell,598.582,-0.02878586144871345,598.582
cell4_01_17_03,17_03,cell4_17_03,1,10,21,24,3.0,up,534.734,0.14175167312080883,0.1640882573586404
cell4_01_17_03,17_03,cell4_17_03,1,10,21,24,3.0,down,551.701,-0.099971499964844,-0.07329415859616098
cell4_01_17_03,17_03,cell4_17_03,1,10,21,25,4.0,cell,594.501,-0.035407385148770947,594.501
cell4_01_17_03,17_03,cell4_17_03,1,10,21,25,4.0,up,531.972,0.13808050785448636,0.16602522896073432
cell4_01_17_03,17_03,cell4_17_03,1,10,21,25,4.0,down,551.855,-0.09972026897377201,-0.06667225837450648
cell4_01_17_03,17_03,cell4_17_03,1,10,21,26,5.0,cell,596.946,-0.03144031201800867,596.946
cell4_01_17_03,17_03,cell4_17_03,1,10,21,26,5.0,up,536.405,0.144939408254683,0.1709262267824341
cell4_01_17_03,17_03,cell4_17_03,1,10,21,26,5.0,down,555.729,-0.09340034131524644,-0.0639699391248639
cell4_01_17_03,17_03,cell4_17_03,1,10,21,27,6.0,cell,600.878,-0.02506054451283198,600.878
cell4_01_17_03,17_03,cell4_17_03,1,10,21,27,6.0,up,535.827,0.14302903417998328,0.16201050121255522
cell4_01_17_03,17_03,cell4_17_03,1,10,21,27,6.0,down,556.89,-0.09150632066177515,-0.06815238422097719
cell4_01_17_03,17_03,cell4_17_03,1,10,21,28,7.0,cell,596.366,-0.032381376400766236,596.366
cell4_01_17_03,17_03,cell4_17_03,1,10,21,28,7.0,up,527.813,0.13067478695968585,0.1532911775550233
cell4_01_17_03,17_03,cell4_17_03,1,10,21,28,7.0,down,547.593,-0.10667316822019333,-0.0767766187916354
cell4_01_17_03,17_03,cell4_17_03,1,10,21,29,8.0,cell,602.94,-0.021714898379649284,602.94
cell4_01_17_03,17_03,cell4_17_03,1,10,21,29,8.0,up,484.069,0.05669884233920456,0.046176444041925314
cell4_01_17_03,17_03,cell4_17_03,1,10,21,29,8.0,down,591.288,-0.03539045292869271,-0.013977668396717196
cell4_01_17_03,17_03,cell4_17_03,1,10,21,30,9.0,cell,599.611,-0.027116283431717833,599.611
cell4_01_17_03,17_03,cell4_17_03,1,10,21,30,9.0,up,482.439,0.05429520138890047,0.048442409208799365
cell4_01_17_03,17_03,cell4_17_03,1,10,21,30,9.0,down,585.292,-0.04517214787978175,-0.018557684372390124
cell4_01_17_03,17_03,cell4_17_03,1,10,21,31,10.0,cell,592.37,-0.038864985493005766,592.37
cell4_01_17_03,17_03,cell4_17_03,1,10,21,31,10.0,up,494.709,0.07567229940746494,0.08824960445234327
cell4_01_17_03,17_03,cell4_17_03,1,10,21,31,10.0,down,574.924,-0.06208619278520071,-0.024158766621832153
cell4_01_17_03,17_03,cell4_17_03,1,10,21,32,11.0,cell,600.748,-0.02527147273655348,600.748
cell4_01_17_03,17_03,cell4_17_03,1,10,21,32,11.0,up,485.478,0.05924946899531917,0.053049977328244846
cell4_01_17_03,17_03,cell4_17_03,1,10,21,32,11.0,down,582.7,-0.049400659106136446,-0.024753350671335824
cell4_01_17_03,17_03,cell4_17_03,1,10,21,33,12.0,cell,598.861,-0.028333177030111144,598.861
cell4_01_17_03,17_03,cell4_17_03,1,10,21,33,12.0,up,473.983,0.04024139157500656,0.03135575635731216
cell4_01_17_03,17_03,cell4_17_03,1,10,21,33,12.0,down,584.21,-0.046937290297573334,-0.019145163653371888
cell4_01_17_03,17_03,cell4_17_03,1,10,21,34,13.0,cell,600.67,-0.025398029670786526,600.67
cell4_01_17_03,17_03,cell4_17_03,1,10,21,34,13.0,up,464.997,0.025160237734529776,0.008755630047874495
cell4_01_17_03,17_03,cell4_17_03,1,10,21,34,13.0,down,592.954,-0.03267259038891388,-0.007462684425212758
cell4_01_17_03,17_03,cell4_17_03,1,10,21,35,14.0,cell,597.165,-0.031084979087277927,597.165
cell4_01_17_03,17_03,cell4_17_03,1,10,21,35,14.0,up,487.882,0.06363232942319125,0.06461409665624072
cell4_01_17_03,17_03,cell4_17_03,1,10,21,35,14.0,down,586.678,-0.042911068960133796,-0.012204053821088755
