ID,stim,mask_region,int,delta
cell4_02_2_2022,1,2,687.2531300078564,0.15834146410393343
cell4_02_2_2022,1,2,591.0347712219846,0.16249592032607002
cell4_02_2_2022,1,2,467.98909355638654,0.13216987966287766
cell4_02_2_2022,1,2,347.38308642281345,0.10992013940892031
cell4_02_2_2022,1,2,242.6630945963403,0.12511306519591794
cell4_02_2_2022,1,2,748.5032409271213,0.06452840527556714
cell4_02_2_2022,1,2,749.8828577161624,0.11761528557111954
cell4_02_2_2022,1,2,709.2523288870929,0.1479473264933036
cell4_02_2_2022,1,2,621.310007041684,0.13827658226970915
cell4_02_2_2022,1,2,503.3294564002092,0.10104389111019726
cell4_02_2_2022,1,2,383.09252046954134,0.07801121755377163
cell4_02_2_2022,1,2,737.5334107015069,0.05999556184731781
cell4_02_2_2022,1,2,747.276554224764,0.10474942768540066
cell4_02_2_2022,1,2,720.8868390184465,0.13097531818991362
cell4_02_2_2022,1,2,647.6529716666502,0.12356482952826113
cell4_02_2_2022,1,2,541.7073711621565,0.09694318807023394
cell4_02_2_2022,1,2,427.2907993145057,0.0866477592693898
cell4_02_2_2022,1,2,316.37309275089035,0.11294543794009937
cell4_02_2_2022,1,2,214.9742988562099,0.1743964958190094
cell4_02_2_2022,1,2,131.73172728593423,0.25977453126672473
cell4_02_2_2022,1,2,716.0074217657811,0.042798116708094865
cell4_02_2_2022,1,2,732.8285878936916,0.08134186541302367
cell4_02_2_2022,1,2,722.1708871864513,0.11111764063966433
cell4_02_2_2022,1,2,667.7486914847473,0.11567232865343123
cell4_02_2_2022,1,2,578.9577349819581,0.10613508218713753
cell4_02_2_2022,1,2,474.8222607885812,0.10940982388801829
cell4_02_2_2022,1,2,364.5235612484882,0.14016953701124593
cell4_02_2_2022,1,2,256.5739256287873,0.20072562097326857
cell4_02_2_2022,1,2,163.49191940065884,0.2861600240500535
cell4_02_2_2022,1,2,92.79704845407544,0.3589464637198729
cell4_02_2_2022,1,2,711.1260905223102,0.04676232931004032
cell4_02_2_2022,1,2,715.1525415033138,0.08376030088319654
cell4_02_2_2022,1,2,680.802508259913,0.10421973276990648
cell4_02_2_2022,1,2,610.6336770677002,0.10997103880393864
cell4_02_2_2022,1,2,517.7463401650692,0.11876323217284805
cell4_02_2_2022,1,2,409.6968299397212,0.14305908081558708
cell4_02_2_2022,1,2,297.0952741152984,0.18793312344759566
cell4_02_2_2022,1,2,195.27561790507357,0.2503810225504613
cell4_02_2_2022,1,2,114.34312126300144,0.3035261564161819
cell4_02_2_2022,1,2,710.2752357671167,0.05569793268308765
cell4_02_2_2022,1,2,692.7211164028571,0.08878855289075126
cell4_02_2_2022,1,2,638.6198860395953,0.10476117097480049
cell4_02_2_2022,1,2,555.2668514921152,0.11380546475407491
cell4_02_2_2022,1,2,449.5659771692469,0.12770904242499195
cell4_02_2_2022,1,2,333.48522831294036,0.15113375318353783
cell4_02_2_2022,1,2,224.21662588668332,0.17982114356562545
cell4_02_2_2022,1,2,713.1562027205736,0.03711823201122641
cell4_02_2_2022,1,2,705.7446417545126,0.07116168906333184
cell4_02_2_2022,1,2,664.5482440133406,0.0918972801720932
cell4_02_2_2022,1,2,590.9373086016153,0.10508600572328915
cell4_02_2_2022,1,2,489.32609962365467,0.1188223810178363
cell4_02_2_2022,1,2,371.16245360972107,0.13296538879183115
cell4_02_2_2022,1,2,255.33447271632087,0.14163101768394742
cell4_02_2_2022,1,2,713.0059676946767,0.049847181581283644
cell4_02_2_2022,1,2,684.2075386048064,0.07217902932101755
cell4_02_2_2022,1,2,624.056767190003,0.09690265926187648
cell4_02_2_2022,1,2,531.3590528431768,0.12376245708678917
cell4_02_2_2022,1,2,414.3008291044262,0.14346611738943518
cell4_02_2_2022,1,2,293.0405750337232,0.14762236561082462
cell4_02_2_2022,1,2,691.4778397976648,0.05090221005639561
cell4_02_2_2022,1,2,647.254779042935,0.08662888434507815
cell4_02_2_2022,1,2,568.1013369200601,0.12708706351697885
cell4_02_2_2022,1,2,457.17589604279556,0.1533158853229892
cell4_02_2_2022,1,2,333.3499198945517,0.1532425978892872
cell4_02_2_2022,1,2,221.2714481816049,0.13971278175809118
cell4_02_2_2022,1,2,656.1730108228551,0.07243478009360267
cell4_02_2_2022,1,2,593.0339141593414,0.11696381459201023
cell4_02_2_2022,1,2,493.95804226975616,0.14383438652243816
cell4_02_2_2022,1,2,372.5648056477789,0.13832706332671932
cell4_02_2_2022,1,2,254.20855791212549,0.1139644114654023
cell4_02_2_2022,1,2,655.5517818642171,0.053163002171882225
cell4_02_2_2022,1,2,609.1789535392294,0.09379979724469134
cell4_02_2_2022,1,2,526.0232080236793,0.11942677490126034
cell4_02_2_2022,1,2,412.6549006803187,0.11658223494071532
cell4_02_2_2022,1,2,291.7606544831491,0.09655799528267704
cell4_02_2_2022,1,2,621.7287704766953,0.06397092250733924
cell4_02_2_2022,1,2,554.1179456243387,0.08562254879438252
cell4_02_2_2022,1,2,452.8725396645497,0.09131489856749342
cell4_02_2_2022,1,2,335.6035052269065,0.09146946004449726
cell4_02_2_2022,1,2,574.1526347127478,0.04633481141252355
cell4_02_2_2022,1,2,486.73103712485516,0.05723937134744346
cell4_02_2_2022,1,2,380.0970424499066,0.08108108658382264
cell4_02_2_2022,1,2,272.5237067242489,0.13579743641546183
cell4_02_2_2022,1,2,179.27261041279166,0.2366134109408382
cell4_02_2_2022,1,2,107.22306953756532,0.3726912855210448
cell4_02_2_2022,1,2,317.203589953928,0.1376492581960649
cell4_02_2_2022,1,2,217.79109812735373,0.25453529661104196
cell4_02_2_2022,1,2,133.27401406326214,0.3879272292491037
cell4_02_2_2022,1,2,353.19501092279205,0.11435380062659449
cell4_02_2_2022,1,2,249.69389489276594,0.22995499549394877
cell4_02_2_2022,1,2,156.93228919216872,0.3671090213617746
cell4_02_2_2022,1,2,89.205462668409,0.5300629641773011
cell4_02_2_2022,1,2,378.94194529953165,0.07941624998008208
cell4_02_2_2022,1,2,272.2284150525372,0.18075808518864606
cell4_02_2_2022,1,2,175.7116388021434,0.3164257134151228
cell4_02_2_2022,1,2,104.63796369305692,0.5150685888677912
cell4_02_2_2022,1,2,59.11349098819064,0.7837136283886039
cell4_02_2_2022,1,2,289.67265588969275,0.12536226304205314
cell4_02_2_2022,1,2,190.4035826268379,0.23981758463261624
cell4_02_2_2022,1,2,116.10497637674399,0.4083586045821902
cell4_02_2_2022,1,2,66.61655930241426,0.6085099460999686
cell4_02_2_2022,1,2,204.19341037127307,0.15159951272814678
cell4_02_2_2022,1,2,124.78000742892705,0.25398400672878346
cell4_02_2_2022,1,3,773.6695966433581,0.04861692832354644
cell4_02_2_2022,1,3,754.5407666036066,0.06605854865202493
