ID,power,ch,frame,time,mask,mask_region,mean,delta,rel
cell4_02_2_2022,3,fp,30,58.0,down,1,97.255,0.03604726476278128,0.931793111503874
cell4_02_2_2022,3,fp,1,0.0,up,1,624.354,0.09893657204390857,0.0020287681874490756
cell4_02_2_2022,3,fp,1,0.0,up,2,367.512,-0.03954991250389395,0.008467878457788004
cell4_02_2_2022,3,fp,1,0.0,up,3,552.893,-0.11807961278594978,0.0031031564902548863
cell4_02_2_2022,3,fp,1,0.0,up,4,547.368,0.019104580318104605,0.016088329856349476
cell4_02_2_2022,3,fp,1,0.0,up,5,455.044,-0.008501225417565894,0.007325852693395673
cell4_02_2_2022,3,fp,2,2.0,up,1,544.194,-0.04215446863980579,0.0017646086807712195
cell4_02_2_2022,3,fp,2,2.0,up,2,371.319,-0.029600758508656535,0.008537755298427048
cell4_02_2_2022,3,fp,2,2.0,up,3,640.287,0.021322677205395206,0.003586165411875072
cell4_02_2_2022,3,fp,2,2.0,up,4,534.067,-0.005659582042156049,0.01566465405528178
cell4_02_2_2022,3,fp,2,2.0,up,5,440.044,-0.04118483759295226,0.007069605368514709
cell4_02_2_2022,3,fp,3,4.0,up,1,523.09,-0.07929999412120667,0.0016998658619548422
cell4_02_2_2022,3,fp,3,4.0,up,2,403.786,0.05524798926212662,0.009304459060836873
cell4_02_2_2022,3,fp,3,4.0,up,3,612.015,-0.023774029005961546,0.003435275210203114
cell4_02_2_2022,3,fp,3,4.0,up,4,537.675,0.0010578901626269622,0.015804780083613287
cell4_02_2_2022,3,fp,3,4.0,up,5,472.845,0.030285506604704377,0.007613088261531781
cell4_02_2_2022,3,fp,4,6.0,up,1,580.712,0.022121512194623848,0.001889284953304354
cell4_02_2_2022,3,fp,4,6.0,up,2,392.49,0.02572720031276985,0.009054556209629042
cell4_02_2_2022,3,fp,4,6.0,up,3,624.719,-0.003509861076240335,0.0035106047618693945
cell4_02_2_2022,3,fp,4,6.0,up,4,535.469,-0.003049300437082265,0.01575802174921554
cell4_02_2_2022,3,fp,4,6.0,up,5,463.97,0.010947702734267447,0.007478766604636012
cell4_02_2_2022,3,fp,5,8.0,up,1,568.369,0.0003963785224796478,0.0018528183069581004
cell4_02_2_2022,3,fp,5,8.0,up,2,378.121,-0.011824518562345995,0.008740481593787883
