"","fret_base","hpca_base","fret_mid","hpca_mid","fret_end","hpca_end"
"64",0.0073,-0.0022,0.0181666666666667,-0.224733333333333,0.0133,-0.24212
"65",0.0286,0.00178333333333333,0.0432333333333333,-0.1133,0.02334,-0.26562
"66",0.0085,-0.00233333333333333,0.026,-0.2301,0.0162,-0.27706
"67",0.0306666666666667,-0.00396666666666667,0.0391666666666667,0.130933333333333,0.03592,-0.07104
"68",0.00326666666666667,0.00158333333333333,0.0143333333333333,-0.2223,0.0094,-0.2314
"69",0.00675,-0.000416666666666667,0.0119333333333333,0.0654,0.01266,-0.15654
"70",0.0044,-0.00588333333333333,0.00813333333333333,-0.0692666666666667,0.01156,-0.3025
"71",0.00693333333333333,-0.00148333333333333,0.0077,-0.0569,0.00984,-0.14374
"72",0.00556666666666667,-0.00693333333333333,0.0117,-0.144633333333333,0.00992,-0.297
"73",0.0064,0.0117666666666667,0.0117,0.165066666666667,0.01084,-0.05938
"74",0.0168333333333333,3.33333333333332e-05,0.0184333333333333,-0.0566,0.02044,-0.20584
"75",0.00576666666666667,-0.0105166666666667,0.0108,-0.1515,0.0092,-0.22222
"76",0.0248333333333333,-0.0258166666666667,0.0218333333333333,0.0614,0.02658,-0.29156
"77",0.0146666666666667,-6e-04,0.0194333333333333,0.0341666666666667,0.02354,-0.19306
"78",0.02125,-0.00346666666666667,0.0164333333333333,0.162233333333333,0.02672,-0.07586
"79",0.0295833333333333,0.00178333333333333,0.0455333333333333,0.1289,0.03348,-0.0997
"80",0.00985,-0.00328333333333333,0.0112333333333333,0.118133333333333,0.02228,-0.17166
"81",0.0399333333333333,0.00176666666666667,0.0402333333333333,0.00946666666666667,0.04988,-0.16826
