cell,feature,time,int
cell28_01,5,75,0.16371199456295804
cell28_01,5,76,0.14504340227736784
cell28_01,5,77,0.18034169622350094
cell28_01,5,78,0.16972854234490597
cell28_01,5,79,0.17135783440688593
cell28_01,5,80,0.16604215527729801
cell28_01,5,81,0.17432514844155317
cell28_01,5,82,0.18353049688856776
cell28_01,5,83,0.17683735296170078
cell28_01,5,84,0.17435548907585444
cell28_01,5,85,0.16706766871668188
cell28_01,5,86,0.1915131177732399
cell28_01,5,87,0.18920722956634106
cell28_01,5,88,0.1836033144108909
cell28_01,5,89,0.201334381096571
cell28_01,5,90,0.2024873252000204
cell28_01,5,91,0.20621618915565024
cell28_01,5,92,0.19299677479057362
cell28_01,5,93,0.2009065781529226
cell28_01,5,94,0.19233231489937513
cell28_01,5,95,0.19239906429483797
cell28_01,5,96,0.18878549474955297
cell28_01,5,97,0.1804964334584377
cell28_01,5,98,0.18679211507595755
cell28_01,5,99,0.17242885879772188
cell28_01,5,100,0.18929825146924506
cell28_01,5,101,0.1932546701821346
cell28_01,5,102,0.18828487428358162
cell28_01,5,103,0.17559338695534737
cell28_01,5,104,0.1764884356672358
cell28_01,5,105,0.18485031448067435
cell28_01,5,106,0.20501470003731867
cell28_01,5,107,0.20594615751036865
cell28_01,5,108,0.19512972138195497
cell28_01,5,109,0.17703456708465923
cell28_01,5,110,0.17569654511197194
cell28_01,5,111,0.16419137658491864
cell28_01,5,112,0.17017454966913506
cell28_01,5,113,0.17381845984872135
cell28_01,5,114,0.15812021566122844
cell28_01,5,115,0.18175556978194157
cell28_01,5,116,0.17038086598238403
cell28_01,5,117,0.17704063521151953
cell27_01,5,1,0.0010780249252670987
cell27_01,5,2,0.0031192227448210465
cell27_01,5,3,0.47419631301218085
cell27_01,5,4,0.4665590489935002
cell27_01,5,5,0.47799831127910336
cell27_01,5,6,0.4620655622917813
cell27_01,5,7,0.4662762753723978
cell27_01,5,8,0.46273328823740945
cell27_01,5,9,0.44986827660171064
cell27_01,5,10,0.4492932243638387
cell27_01,5,11,0.45171699825900175
cell27_01,5,12,0.46199189857535955
cell27_01,5,13,0.46096773529220747
cell27_01,5,14,0.4574057381658845
cell27_01,5,15,0.44685044047734096
cell27_01,5,16,0.43388562638713535
cell27_01,5,17,0.45483463683787817
cell27_01,5,18,0.44471894519894745
cell27_01,5,19,0.44007337856655177
cell27_01,5,20,0.4444314190800115
cell27_01,5,21,0.44184130776067077
cell27_01,5,22,0.4404678358867448
cell27_01,5,23,0.4437351781473813
cell27_01,5,24,0.44250428120846536
cell27_01,5,25,0.4567902896964264
cell27_01,5,26,0.4516789782763326
cell27_01,5,27,0.45095422235670035
cell27_01,5,28,0.4378420808336517
cell27_01,5,29,0.45058352752567554
cell27_01,5,30,0.43966228750394076
cell27_01,5,31,0.44193398146842694
cell27_01,5,32,0.42652163099389007
cell27_01,5,33,0.43791812079899
cell27_01,5,34,0.43616444909837215
cell27_01,5,35,0.4438563668421396
cell27_01,5,36,0.45091144987619763
cell27_01,5,37,0.45072134996285146
cell27_01,5,38,0.4518168007135085
cell27_01,5,39,0.45554513526400925
cell27_01,5,40,0.45694236962710316
cell27_01,5,41,0.45700890459677435
cell27_01,5,42,0.4445312215345183
cell27_01,5,43,0.45862475386021656
cell27_01,5,44,0.45787623545141604
cell27_01,5,45,0.45514592544598237
cell27_01,5,46,0.43956248504943396
cell27_01,5,47,0.434672164778605
cell27_01,5,48,0.4383624793464366
cell27_01,5,49,0.4485352009593711
cell27_01,5,50,0.462056057296114
cell27_01,5,51,0.48516745426116886
cell27_01,5,52,0.49036906314010204
cell27_01,5,53,0.47630404580140584
cell27_01,5,54,0.4772260303811346
cell27_01,5,55,0.48400784478975767
cell27_01,5,56,0.48586844769163257
cell27_01,5,57,0.4775919727143259
cell27_01,5,58,0.4801488165488313
cell27_01,5,59,0.4900672795276652
cell27_01,5,60,0.4613408063721491
cell27_01,5,61,0.4835302187574755
cell27_01,5,62,0.4809044637043821
cell27_01,5,63,0.4893900485863697
cell27_01,5,64,0.47728306035513846
cell27_01,5,65,0.48834212281404915
cell27_01,5,66,0.500672478443462
cell27_01,5,67,0.49258847962841823
cell27_01,5,68,0.49060906428070156
cell27_01,5,69,0.4928712532495204
cell27_01,5,70,0.4784402935776329
cell27_01,5,71,0.484794383181227
cell27_01,5,72,0.4900078733047446
cell27_01,5,73,0.506712903190035
cell27_01,5,74,0.4979778121717806
cell27_01,5,75,0.512180651947653
cell27_01,5,76,0.5153862117364518
cell27_01,5,77,0.49678018271770025
cell27_01,5,78,0.5031200148277932
cell27_01,5,79,0.5006796071902125
cell27_01,5,80,0.5111469836688334
cell27_01,5,81,0.5032008072909656
cell27_01,5,82,0.5066368632246965
cell27_01,5,83,0.5110424287164931
cell27_01,5,84,0.5084309311569005
cell27_01,5,85,0.520891980476739
cell27_01,5,86,0.5243232839126364
cell27_01,5,87,0.5086685560485833
cell27_01,5,88,0.5253593284403728
cell27_01,5,89,0.5224080272856744
cell27_01,5,90,0.5084451886504017
cell27_01,5,91,0.5168951297986367
cell27_01,5,92,0.5276262699070255
cell27_01,5,93,0.5271581488704107
cell27_01,5,94,0.5177101831771084
cell27_01,5,95,0.5305965810530587
cell27_01,5,96,0.5355771987827271
cell27_01,5,97,0.53874236233994
cell27_01,5,98,0.5446235784090855
cell27_01,5,99,0.5320959941195762
cell27_01,5,100,0.5369506706566528
cell27_01,5,101,0.5236674392115924
cell27_01,5,102,0.5372120580375037
cell27_01,5,103,0.5397784068676762
cell27_01,5,104,0.5306607397738128
cell27_01,5,105,0.529370436611976
cell27_01,5,106,0.5367653232411403
cell27_01,5,107,0.5206757418253077
cell27_01,5,108,0.5274670612295981
cell27_01,5,109,0.5231422882009737
cell27_01,5,110,0.5398568230819315
cell27_01,5,111,0.5464651713196262
cell27_01,5,112,0.5364968071135389
cell27_01,5,113,0.5618870267898305
cell27_01,5,114,0.5511867779173605
cell27_01,5,115,0.5610933596516103
cell27_01,5,116,0.5636359459926148
cell27_01,5,117,0.5416960397435553
cell26_01,5,1,-0.0010739856801909714
cell26_01,5,2,0.004773269689737463
cell26_01,5,3,0.4684765314240254
cell26_01,5,4,0.4358857067090957
cell26_01,5,5,0.44967183770883046
cell26_01,5,6,0.4299191195969238
cell26_01,5,7,0.4161130999734819
cell26_01,5,8,0.42621320604614155
cell26_01,5,9,0.4184301246353751
cell26_01,5,10,0.4180389817024661
cell26_01,5,11,0.416815831344471
cell26_01,5,12,0.4061787324317157
cell26_01,5,13,0.3946565897639883
cell26_01,5,14,0.37579885971890736
cell26_01,5,15,0.38691328560063637
cell26_01,5,16,0.37743967117475463
cell26_01,5,17,0.36622911694510735
cell26_01,5,18,0.36199284009546545
cell26_01,5,19,0.34703659506762136
cell26_01,5,20,0.35836316626889414
cell26_01,5,21,0.3490221426677274
cell26_01,5,22,0.3410401750198886
cell26_01,5,23,0.3360415009281358
cell26_01,5,24,0.33117210289048005
cell26_01,5,25,0.32178467250066284
cell26_01,5,26,0.30705051710421627
cell26_01,5,27,0.3177439671174754
cell26_01,5,28,0.29880336780694766
cell26_01,5,29,0.30706377618668784
cell26_01,5,30,0.2762993900822063
cell26_01,5,31,0.29978122513922034
cell26_01,5,32,0.2740387165208166
cell26_01,5,33,0.29025125961283477
cell26_01,5,34,0.28572659771943776
cell26_01,5,35,0.26518496420047727
cell26_01,5,36,0.2906291434632724
cell26_01,5,37,0.2836880137894457
cell26_01,5,38,0.27883850437549723
cell26_01,5,39,0.26910302307080347
cell26_01,5,40,0.2586714399363564
cell26_01,5,41,0.26010673561389547
cell26_01,5,42,0.2538981702466189
cell26_01,5,43,0.2564704322460886
cell26_01,5,44,0.24272407849376812
cell26_01,5,45,0.2385640413683372
cell26_01,5,46,0.244166003712543
cell26_01,5,47,0.22039246884115618
cell26_01,5,48,0.21634181914611514
cell26_01,5,49,0.2244530628480508
cell26_01,5,50,0.20862171837708834
cell26_01,5,51,0.2083797401219835
cell26_01,5,52,0.22292826836382917
cell26_01,5,53,0.23184500132590818
cell26_01,5,54,0.21071002386634846
cell26_01,5,55,0.196754839565102
cell26_01,5,56,0.1942886502254044
cell26_01,5,57,0.1943914081145585
cell26_01,5,58,0.18690002651816498
cell26_01,5,59,0.18065168390347378
cell26_01,5,60,0.18480840625828687
cell26_01,5,61,0.1951538053566692
cell26_01,5,62,0.1705913550782286
cell26_01,5,63,0.1723117210289048
cell26_01,5,64,0.1689936356404136
cell26_01,5,65,0.1804329090426942
cell26_01,5,66,0.162055820737205
cell26_01,5,67,0.1721857597454256
cell26_01,5,68,0.17030297003447364
cell26_01,5,69,0.1632922301776717
cell26_01,5,70,0.1794086449217713
cell26_01,5,71,0.16410766374966845
cell26_01,5,72,0.16306682577565637
cell26_01,5,73,0.17170511800583402
cell26_01,5,74,0.16190997083001846
cell26_01,5,75,0.17542097586846989
cell26_01,5,76,0.15697096260938748
cell26_01,5,77,0.18450344736144259
cell26_01,5,78,0.1790771678599841
cell26_01,5,79,0.16627552373375754
cell26_01,5,80,0.18097984619464336
cell26_01,5,81,0.18059201803235214
cell26_01,5,82,0.1662887828162291
cell26_01,5,83,0.16214531954388756
cell26_01,5,84,0.16793622381331216
cell26_01,5,85,0.15953659506762138
cell26_01,5,86,0.16827764518695312
cell26_01,5,87,0.16828095995757092
cell26_01,5,88,0.15794881994165996
cell26_01,5,89,0.15108724476266236
cell26_01,5,90,0.16217846725006624
cell26_01,5,91,0.1551014319809069
cell26_01,5,92,0.15472686290108723
cell26_01,5,93,0.20079223017767167
cell26_01,5,94,0.17688941925218765
cell26_01,5,95,0.1670909573057545
cell26_01,5,96,0.149814372845399
cell26_01,5,97,0.15696433306815172
cell26_01,5,98,0.14793821267568283
cell26_01,5,99,0.15267833465924158
cell26_01,5,100,0.16660700079554494
cell26_01,5,101,0.162997215592681
cell26_01,5,102,0.16009016176080612
cell26_01,5,103,0.16001392203659495
cell26_01,5,104,0.16181715725271814
cell26_01,5,105,0.14084128878281615
cell26_01,5,106,0.14549854150092814
cell26_01,5,107,0.1426876160169716
cell26_01,5,108,0.13598846459824973
cell26_01,5,109,0.1338239193847786
cell26_01,5,110,0.1298727128082737
