"","id","roi","int","index_app","i_app"
"294","24_05_30_cell3_ch1",1,225.3408,18,"25"
"295","24_05_30_cell3_ch1",1,230.4057,19,"25"
"296","24_05_30_cell3_ch1",1,235.2805,20,"25"
"297","24_05_30_cell3_ch1",1,240.6476,21,"25"
"298","24_05_30_cell3_ch1",1,224.2448,22,"25"
"299","24_05_30_cell3_ch1",1,190.2037,23,"25"
"300","24_05_30_cell3_ch1",1,164.7442,24,"25"
"301","24_05_30_cell3_ch1",1,146.8523,25,"25"
"302","24_05_30_cell3_ch1",1,133.1745,26,"25"
"303","24_05_30_cell3_ch1",1,124.0018,27,"25"
"304","24_05_30_cell3_ch1",1,116.7419,28,"25"
"305","24_05_30_cell3_ch1",1,111.3322,29,"25"
"306","24_05_30_cell3_ch1",1,106.933,30,"25"
"307","24_05_30_cell3_ch1",1,104.2338,31,"25"
"308","24_05_30_cell3_ch1",1,101.1423,32,"25"
"309","24_05_30_cell3_ch1",1,99.3809,33,"25"
"310","24_05_30_cell3_ch1",1,97.041,34,"25"
"311","24_05_30_cell3_ch1",1,95.6541,35,"25"
"312","24_05_30_cell3_ch1",1,94.1584,36,"25"
"313","24_05_30_cell3_ch1",1,93.0258,37,"25"
"314","24_05_30_cell3_ch1",1,91.883,38,"25"
"315","24_05_30_cell3_ch1",1,90.707,39,"25"
"316","24_05_30_cell3_ch1",1,89.1729,40,"25"
"317","24_05_30_cell3_ch1",1,89.7644,41,"25"
"318","24_05_30_cell3_ch1",1,88.8695,42,"25"
"319","24_05_30_cell3_ch1",1,87.1699,43,"25"
"320","24_05_30_cell3_ch1",1,86.6184,44,"25"
"321","24_05_30_cell3_ch1",1,87.016,45,"25"
"322","24_05_30_cell3_ch1",1,85.7488,46,"25"
"323","24_05_30_cell3_ch1",1,86.0307,47,"25"
"324","24_05_30_cell3_ch1",1,84.5423,48,"25"
"325","24_05_30_cell3_ch1",1,83.8234,49,"25"
"326","24_05_30_cell3_ch1",1,83.2356,50,"25"
"327","24_05_30_cell3_ch1",1,82.8576,51,"25"
"328","24_05_30_cell3_ch1",1,82.8945,52,"25"
"329","24_05_30_cell3_ch1",1,83.1548,53,"25"
"330","24_05_30_cell3_ch1",1,82.572,54,"25"
"331","24_05_30_cell3_ch1",2,174.8001,0,"25"
"332","24_05_30_cell3_ch1",2,174.4366,1,"25"
"333","24_05_30_cell3_ch1",2,174.2137,2,"25"
"334","24_05_30_cell3_ch1",2,174.107,3,"25"
"335","24_05_30_cell3_ch1",2,175.0278,4,"25"
"336","24_05_30_cell3_ch1",2,231.366,5,"25"
"337","24_05_30_cell3_ch1",2,276.7183,6,"25"
"338","24_05_30_cell3_ch1",2,311.489,7,"25"
"339","24_05_30_cell3_ch1",2,340.0382,8,"25"
"340","24_05_30_cell3_ch1",2,365.1748,9,"25"
