cell,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,10,20,46,26.0,down,564.243,-0.0354952410907201,0.00581468133017377
cell4_01_17_03,10,20,47,27.0,cell,678.973,-0.04592353566975682,678.973
cell4_01_17_03,10,20,47,27.0,up,467.66,-0.005110810820010399,0.042641057831754405
cell4_01_17_03,10,20,47,27.0,down,557.082,-0.04773609933539378,-0.0019586836653253076
cell4_01_17_03,10,20,48,28.0,cell,675.525,-0.05076858201034865,675.525
cell4_01_17_03,10,20,48,28.0,up,464.789,-0.011218510563704083,0.041529360467207115
cell4_01_17_03,10,20,48,28.0,down,557.577,-0.046889957060416335,0.004026841765192097
cell4_01_17_03,10,20,49,29.0,cell,682.981,-0.04029159085157458,682.981
cell4_01_17_03,10,20,49,29.0,up,452.704,-0.0369278631943335,0.003373927517968959
cell4_01_17_03,10,20,49,29.0,down,561.408,-0.04034132866559093,-0.0001108089937533585
cell4_01_17_03,10,20,50,30.0,cell,688.871,-0.03201510507834778,688.871
cell4_01_17_03,10,20,50,30.0,up,458.945,-0.023650902518474327,0.00850914935174978
cell4_01_17_03,10,20,50,30.0,down,560.05,-0.042662664442195804,-0.01105805369752209
cell4_01_17_03,10,20,51,31.0,cell,682.861,-0.040460211953915366,682.861
cell4_01_17_03,10,20,51,31.0,up,476.678,0.014073876149208943,0.056695604312636295
cell4_01_17_03,10,20,51,31.0,down,561.743,-0.03976868692393948,0.0006616554632670551
cell4_01_17_03,10,20,52,32.0,cell,678.593,-0.04645750249383596,678.593
cell4_01_17_03,10,20,52,32.0,up,465.753,-0.009167719009221106,0.038970909113439575
cell4_01_17_03,10,20,52,32.0,down,555.446,-0.05053264228865248,-0.004332418501550966
cell4_01_17_03,10,20,53,33.0,cell,680.024,-0.044446695848422056,680.024
cell4_01_17_03,10,20,53,33.0,up,462.168,-0.016794366024596042,0.028804212155798238
cell4_01_17_03,10,20,53,33.0,down,558.896,-0.04463528703880986,-0.0002563377831701933
cell4_01_17_03,10,20,54,34.0,cell,677.2,-0.04841491245684178,677.2
cell4_01_17_03,10,20,54,34.0,up,479.567,0.020219868681264283,0.0719868140445153
cell4_01_17_03,10,20,54,34.0,down,555.936,-0.04969504690534147,-0.0014041720870356432
cell4_01_17_03,10,20,55,35.0,cell,682.664,-0.04073703159692483,682.664
cell4_01_17_03,10,20,55,35.0,up,480.243,0.02165797562195979,0.06490568187593292
cell4_01_17_03,10,20,55,35.0,down,564.724,-0.0346730301124087,0.006262162537840148
cell4_01_17_03,10,20,56,36.0,cell,677.604,-0.04784722141229448,677.604
cell4_01_17_03,10,20,56,36.0,up,477.174,0.015129055206287283,0.0660017386991326
cell4_01_17_03,10,20,56,36.0,down,566.762,-0.031189317069168443,0.017434973006439758
cell4_01_17_03,10,20,57,37.0,cell,682.479,-0.04099698912970012,682.479
cell4_01_17_03,10,20,57,37.0,up,453.128,-0.03602585529070203,0.005052408563202222
cell4_01_17_03,10,20,57,37.0,down,563.777,-0.03629181139403221,0.004847046681507976
cell4_01_17_03,10,20,58,38.0,cell,674.222,-0.052599526146599,674.222
cell4_01_17_03,10,20,58,38.0,up,471.516,0.0030923553979215045,0.05864564869260381
cell4_01_17_03,10,20,58,38.0,down,556.251,-0.04915659273035593,0.0035748840944690055
cell4_01_17_03,10,20,59,39.0,cell,683.536,-0.03951171825324852,683.536
cell4_01_17_03,10,20,59,39.0,up,467.468,-0.005519267229202046,0.03525561929105848
cell4_01_17_03,10,20,59,39.0,down,561.444,-0.04027979104559267,-0.0008586080090490864
cell4_01_17_03,10,20,60,40.0,cell,673.324,-0.05386137406244923,673.324
cell4_01_17_03,10,20,60,40.0,up,468.838,-0.002604760559449255,0.054036892424701985
cell4_01_17_03,10,20,60,40.0,down,546.729,-0.06543329321992176,-0.012288945056296796
cell4_01_17_03,10,20,61,41.0,cell,685.453,-0.03681799614335445,685.453
cell4_01_17_03,10,20,61,41.0,up,464.397,-0.012052442399136986,0.025578306907303616
cell4_01_17_03,10,20,61,41.0,down,561.973,-0.039375529907283456,-0.0027141259193469458
cell4_01_17_03,10,20,62,42.0,cell,678.707,-0.04629731244661217,678.707
