"","cell","power","stimul","frame","time","mask","int","delta","rel"
"273","cell8_02_22_01",50,20,91,71,"down",432.804,-0.116446678621474,0.94452288722789
"274","cell8_02_22_01",50,20,92,72,"cell",460.478,-0.0710698780471323,460.478
"275","cell8_02_22_01",50,20,92,72,"up",495.763,0.0448699547751255,1.07662689639896
"276","cell8_02_22_01",50,20,92,72,"down",432.599,-0.11686517852185,0.939456390967647
"277","cell8_02_22_01",50,20,93,73,"cell",458.965,-0.0741220787483921,458.965
"278","cell8_02_22_01",50,20,93,73,"up",473.335,-0.00239929150928164,1.03130957698299
"279","cell8_02_22_01",50,20,93,73,"down",432.359,-0.11735512962473,0.942030438050832
"280","cell8_02_22_01",50,20,94,74,"cell",458.053,-0.0759618719007707,458.053
"281","cell8_02_22_01",50,20,94,74,"up",484.049,0.0201815317781777,1.05675325781078
"282","cell8_02_22_01",50,20,94,74,"down",430.675,-0.120792953196604,0.940229624082803
"283","cell8_02_22_01",50,20,95,75,"cell",458.797,-0.0744609880133038,458.797
"284","cell8_02_22_01",50,20,95,75,"up",483.71,0.0194670554766611,1.0543007037971
"285","cell8_02_22_01",50,20,95,75,"down",431.767,-0.118563675678501,0.941085055046131
"286","cell8_02_22_01",50,20,96,76,"cell",464.823,-0.0623046354516441,464.823
"287","cell8_02_22_01",50,20,96,76,"up",492.886,0.0388063904109273,1.0603735185221
"288","cell8_02_22_01",50,20,96,76,"down",437.339,-0.107188644239972,0.94087211691332
"289","cell8_02_22_01",50,20,97,77,"cell",461.922,-0.0681568722225327,461.922
"290","cell8_02_22_01",50,20,97,77,"up",480.947,0.0136437574793445,1.0411866072627
"291","cell8_02_22_01",50,20,97,77,"down",436.795,-0.108299200073166,0.945603370265976
"292","cell8_02_22_01",50,20,98,78,"cell",461.321,-0.0693692797714138,461.321
"293","cell8_02_22_01",50,20,98,78,"up",481.845,0.0155363820184652,1.04448962869672
"294","cell8_02_22_01",50,20,98,78,"down",433.945,-0.114117369419865,0.940657373065609
"295","cell8_02_22_01",50,20,99,79,"cell",460.538,-0.0709488390239495,460.538
"296","cell8_02_22_01",50,20,99,79,"up",476.335,0.00392350761918373,1.03430118687274
"297","cell8_02_22_01",50,20,99,79,"down",434.94,-0.112086113805842,0.944417181644077
"298","cell8_02_22_01",50,20,100,80,"cell",457.358,-0.0773639072526382,457.358
"299","cell8_02_22_01",50,20,100,80,"up",479.441,0.0104697123168549,1.04828383891831
"300","cell8_02_22_01",50,20,100,80,"down",432.098,-0.117887951449112,0.944769742739823
"301","cell8_02_22_01",50,20,101,81,"cell",456.25,-0.079599094547414,456.25
"302","cell8_02_22_01",50,20,101,81,"up",470.955,-0.00741537881786415,1.0322301369863
"303","cell8_02_22_01",50,20,101,81,"down",430.646,-0.120852155621536,0.943881643835616
"304","cell8_02_22_01",50,20,102,82,"cell",460.94,-0.0701378775686247,460.94
