"","cell","stimul","frame","time","mask","int","delta"
"150","cell7_01",10,50,8,"down",1441.006,-0.13745560398926
"151","cell7_01",10,51,8.2,"cell",1022.994,-0.0632030311008345
"152","cell7_01",10,51,8.2,"up",1669.287,0.156173981124566
"153","cell7_01",10,51,8.2,"down",1449.429,-0.132413840493759
"154","cell7_01",10,52,8.4,"cell",1023.809,-0.0624567026476346
"155","cell7_01",10,52,8.4,"up",1667.741,0.155103197625492
"156","cell7_01",10,52,8.4,"down",1445.667,-0.134665664579011
"157","cell7_01",10,53,8.6,"cell",1021.884,-0.0642195029818798
"158","cell7_01",10,53,8.6,"up",1667.22,0.154742344971535
"159","cell7_01",10,53,8.6,"down",1443.558,-0.135928050808621
"160","cell7_01",10,54,8.8,"cell",1022.587,-0.0635757374572178
"161","cell7_01",10,54,8.8,"up",1628.635,0.1280177774995
"162","cell7_01",10,54,8.8,"down",1457.718,-0.127452285511661
"163","cell7_01",10,55,9,"cell",1022.83,-0.0633532125319078
"164","cell7_01",10,55,9,"up",1700.887,0.178060629617927
"165","cell7_01",10,55,9,"down",1448.711,-0.132843614468562
"166","cell7_01",10,56,9.2,"cell",1018.678,-0.0671553668112774
"167","cell7_01",10,56,9.2,"up",1643.298,0.138173597969695
"168","cell7_01",10,56,9.2,"down",1447.613,-0.133500845421674
"169","cell7_01",10,57,9.4,"cell",1019.981,-0.0659621570265909
"170","cell7_01",10,57,9.4,"up",1651.514,0.143864126577968
"171","cell7_01",10,57,9.4,"down",1448.06,-0.133233284186664
"172","cell7_01",10,58,9.6,"cell",1026.454,-0.06003456920136
"173","cell7_01",10,58,9.6,"up",1660.33,0.149970224461432
"174","cell7_01",10,58,9.6,"down",1466.528,-0.122178875040882
"175","cell7_01",10,59,9.8,"cell",1023.78,-0.0624832591202024
"176","cell7_01",10,59,9.8,"up",1643.603,0.138384845684583
"177","cell7_01",10,59,9.8,"down",1464.054,-0.123659739683868
"178","cell7_01",10,60,10,"cell",1023.21,-0.0630052311672257
"179","cell7_01",10,60,10,"up",1639.553,0.135579753077048
"180","cell7_01",10,60,10,"down",1458.213,-0.127155992868865
"181","cell7_01",10,61,10.2,"cell",1024.213,-0.0620867435125514
"182","cell7_01",10,61,10.2,"up",1661.762,0.15096204979822
"183","cell7_01",10,61,10.2,"down",1460.623,-0.125713436769594
"184","cell7_01",10,62,10.4,"cell",1023.159,-0.0630519339293278
"185","cell7_01",10,62,10.4,"up",1673.142,0.158844013717665
"186","cell7_01",10,62,10.4,"down",1454.951,-0.129108531456342
"187","cell7_01",10,63,10.6,"cell",1017.905,-0.0678632341662756
"188","cell7_01",10,63,10.6,"up",1632.954,0.131009183665412
"189","cell7_01",10,63,10.6,"down",1453.846,-0.129769952406423
"190","cell7_01",10,64,10.8,"cell",1022.663,-0.0635061411842813
"191","cell7_01",10,64,10.8,"up",1666.663,0.154356558161067
"192","cell7_01",10,64,10.8,"down",1455.889,-0.128547071862518
"193","cell7_01",10,65,11,"cell",1020.917,-0.0651050239809526
"194","cell7_01",10,65,11,"up",1640.727,0.136392883625504
"195","cell7_01",10,65,11,"down",1455.126,-0.129003781532121
"196","cell7_01",10,66,11.2,"cell",1024.75,-0.0615949908998295
"197","cell7_01",10,66,11.2,"up",1651.468,0.14383226626687
"198","cell7_01",10,66,11.2,"down",1459.032,-0.126665763223511
"199","cell7_01",10,67,11.4,"cell",1017.044,-0.0686516866794108
"200","cell7_01",10,67,11.4,"up",1640.163,0.136002248506825
"201","cell7_01",10,67,11.4,"down",1446.786,-0.133995863634992
"202","cell7_01",10,68,11.6,"cell",1021.501,-0.0645702315678622
