cell,power,stimul,frame,time,mask,int,delta,rel
cell2_01_27_01,20,20,47,27.0,down,182.772,-0.01938776386158598,0.848630051120614
cell2_01_27_01,20,20,48,28.0,cell,219.464,-0.006291500927085141,219.464
cell2_01_27_01,20,20,48,28.0,up,176.215,0.021577687210495546,0.8029335107352459
cell2_01_27_01,20,20,48,28.0,down,180.52,-0.03147024233631783,0.8225494841978639
cell2_01_27_01,20,20,49,29.0,cell,221.052,0.0008987858467264303,221.052
cell2_01_27_01,20,20,49,29.0,up,181.322,0.05118468575536403,0.8202685341005737
cell2_01_27_01,20,20,49,29.0,down,182.476,-0.02097586938046722,0.8254890252067387
cell2_01_27_01,20,20,50,30.0,cell,214.299,-0.02967804449555923,214.299
cell2_01_27_01,20,20,50,30.0,up,171.589,-0.005240792379980616,0.8006990233272203
cell2_01_27_01,20,20,50,30.0,down,170.011,-0.08785335347795116,0.7933354798669149
cell2_01_27_01,20,20,51,31.0,cell,207.29,-0.06141401426737636,207.29
cell2_01_27_01,20,20,51,31.0,up,164.115,-0.048570086902077106,0.7917169183269815
cell2_01_27_01,20,20,51,31.0,down,172.473,-0.07464417852022902,0.8320372425104926
cell2_01_27_01,20,20,52,32.0,cell,223.315,0.011145397288247644,223.315
cell2_01_27_01,20,20,52,32.0,up,177.44,0.02867942467230556,0.7945726888028122
cell2_01_27_01,20,20,52,32.0,down,181.808,-0.024559837240645296,0.8141325034144594
cell2_01_27_01,20,20,53,33.0,cell,214.607,-0.028283454869404367,214.607
cell2_01_27_01,20,20,53,33.0,up,171.962,-0.003078385789568307,0.8012879356218576
cell2_01_27_01,20,20,53,33.0,down,172.986,-0.07189181996892474,0.8060594482006644
cell2_01_27_01,20,20,54,34.0,cell,225.25,0.019906861335681814,225.25
cell2_01_27_01,20,20,54,34.0,up,180.719,0.04768889172314238,0.8023041065482797
cell2_01_27_01,20,20,54,34.0,down,181.65,-0.02540754221356159,0.8064372918978913
cell2_01_27_01,20,20,55,35.0,cell,232.026,0.05058783311108954,232.026
cell2_01_27_01,20,20,55,35.0,up,195.102,0.13107198552984764,0.840862661943058
cell2_01_27_01,20,20,55,35.0,down,187.811,0.007647586508828987,0.8094394593709325
cell2_01_27_01,20,20,56,36.0,cell,231.231,0.046988161835787065,231.231
cell2_01_27_01,20,20,56,36.0,up,186.125,0.07902929394236291,0.8049309997361945
cell2_01_27_01,20,20,56,36.0,down,188.564,0.011687598183550564,0.8154788934009713
cell2_01_27_01,20,20,57,37.0,cell,225.22,0.019771024683783604,225.22
cell2_01_27_01,20,20,57,37.0,up,184.142,0.06753317525928589,0.8176094485392061
cell2_01_27_01,20,20,57,37.0,down,181.545,-0.02597089045505674,0.8060785010212237
cell2_01_27_01,20,20,58,38.0,cell,226.01,0.02334805651710294,226.01
cell2_01_27_01,20,20,58,38.0,up,180.029,0.0436887293977147,0.796553249856201
cell2_01_27_01,20,20,58,38.0,down,186.174,-0.00113528083714624,0.823742312287067
cell2_01_27_01,20,20,59,39.0,cell,221.757,0.004090947166334282,221.757
cell2_01_27_01,20,20,59,39.0,up,178.835,0.03676670937371379,0.8064457942703049
cell2_01_27_01,20,20,59,39.0,down,181.65,-0.02540754221356159,0.8191398693164139
cell2_01_27_01,20,20,60,40.0,cell,222.395,0.006979739963369444,222.395
cell2_01_27_01,20,20,60,40.0,up,176.281,0.021960311432927777,0.7926482160120506
cell2_01_27_01,20,20,60,40.0,down,185.424,-0.005159196847825176,0.8337597517929809
cell2_01_27_01,20,20,61,41.0,cell,218.757,-0.00949271802348612,218.757
cell2_01_27_01,20,20,61,41.0,up,179.0,0.03772326992979428,0.8182595299807549
cell2_01_27_01,20,20,61,41.0,down,176.919,-0.05079040440892429,0.8087466915344423
cell2_01_27_01,20,20,62,42.0,cell,220.249,-0.002737108535748818,220.249
cell2_01_27_01,20,20,62,42.0,up,178.57,0.03523041514728133,0.8107641805411148
cell2_01_27_01,20,20,62,42.0,down,176.487,-0.053108180031075446,0.8013067028681174
cell2_01_27_01,20,20,63,43.0,cell,224.639,0.017140321525355103,224.639
cell2_01_27_01,20,20,63,43.0,up,181.839,0.05418190883108302,0.8094720863251705
cell2_01_27_01,20,20,63,43.0,down,181.632,-0.025504116197817887,0.8085506078641732
cell2_01_27_01,20,20,64,44.0,cell,227.343,0.029383731749779797,227.343
cell2_01_27_01,20,20,64,44.0,up,183.271,0.06248369499052131,0.8061431405409447
cell2_01_27_01,20,20,64,44.0,down,183.062,-0.01783184967079001,0.805223824793374
cell2_01_27_01,20,20,65,45.0,cell,211.343,-0.04306248259592901,211.343
cell2_01_27_01,20,20,65,45.0,up,172.943,0.0026088015165833807,0.8183048409457613
cell2_01_27_01,20,20,65,45.0,down,170.552,-0.08495076872891477,0.8069914783077746
cell2_01_27_01,20,20,66,46.0,cell,228.572,0.034948506589209616,228.572
cell2_01_27_01,20,20,66,46.0,up,184.561,0.06996225933806016,0.8074523563691091
cell2_01_27_01,20,20,66,46.0,down,184.323,-0.01106630555150185,0.8064111089722276
cell2_01_27_01,20,20,67,47.0,cell,224.959,0.01858924581226925,224.959
cell2_01_27_01,20,20,67,47.0,up,185.571,0.0758175694086137,0.8249103169910962
cell2_01_27_01,20,20,67,47.0,down,178.452,-0.042565520083096615,0.7932645504291893
cell2_01_27_01,20,20,68,48.0,cell,226.569,0.02587914613080613,226.569
cell2_01_27_01,20,20,68,48.0,up,188.261,0.09141240514107819,0.830921264603719
cell2_01_27_01,20,20,68,48.0,down,178.486,-0.042383102557279215,0.7877776747922266
cell2_01_27_01,20,20,69,49.0,cell,222.865,0.009107847509774634,222.865
cell2_01_27_01,20,20,69,49.0,up,186.994,0.0840671795377204,0.8390460592735512
cell2_01_27_01,20,20,69,49.0,down,180.389,-0.03217308633284975,0.8094092836470509
cell2_01_27_01,20,20,70,50.0,cell,232.602,0.053195896827535026,232.602
cell2_01_27_01,20,20,70,50.0,up,189.661,0.09952867652600399,0.815388517725557
cell2_01_27_01,20,20,70,50.0,down,187.507,0.0060165592191671145,0.806128064247083
cell2_01_27_01,20,20,71,51.0,cell,227.97,0.032222717774452306,227.97
cell2_01_27_01,20,20,71,51.0,up,184.656,0.0705130063248944,0.8100013159626267
cell2_01_27_01,20,20,71,51.0,down,185.383,-0.005379170923075608,0.8131903320612361
cell2_01_27_01,20,20,72,52.0,cell,224.122,0.014799403224309405,224.122
cell2_01_27_01,20,20,72,52.0,up,184.739,0.07099418527128643,0.8242787410428248
cell2_01_27_01,20,20,72,52.0,down,176.334,-0.053929058897253905,0.7867768447541963
cell2_01_27_01,20,20,73,53.0,cell,230.639,0.04430765190499591,230.639
cell2_01_27_01,20,20,73,53.0,up,185.045,0.07276817030256297,0.8023144394486621
cell2_01_27_01,20,20,73,53.0,down,186.197,-0.0010118807461521066,0.8073092581913727
cell2_01_27_01,20,20,74,54.0,cell,228.039,0.03253514207381812,228.039
cell2_01_27_01,20,20,74,54.0,up,188.037,0.09011380171949013,0.8245826371804824
cell2_01_27_01,20,20,74,54.0,down,180.788,-0.03003236301516855,0.7927942150246231
cell2_01_27_01,20,20,75,55.0,cell,229.206,0.037819187832658266,229.206
cell2_01_27_01,20,20,75,55.0,up,184.806,0.0713826068304222,0.8062877935132589
cell2_01_27_01,20,20,75,55.0,down,183.76,-0.014086925170184927,0.8017242131532334
cell2_01_27_01,20,20,76,56.0,cell,231.439,0.04792996262228127,231.439
cell2_01_27_01,20,20,76,56.0,up,188.627,0.09353423037456601,0.8150182121422924
cell2_01_27_01,20,20,76,56.0,down,188.197,0.009718561948991724,0.8131602711729657
cell2_01_27_01,20,20,77,57.0,cell,227.025,0.02794386323965891,227.025
cell2_01_27_01,20,20,77,57.0,up,190.43,0.10398682845100968,0.8388062988657637
cell2_01_27_01,20,20,77,57.0,down,181.97,-0.023690671382338612,0.8015416804316705
cell2_01_27_01,20,20,78,58.0,cell,228.152,0.033046793462634685,228.152
cell2_01_27_01,20,20,78,58.0,up,185.247,0.07393923231667383,0.8119455450752131
